fixture_id,team,rating,minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,assists,saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,home
1180464,Botafogo,5.069782608695652,46.30217391304348,0.07173913043478261,0.42608695652173917,0.1565217391304348,0.06956521739130435,0.017391304347826087,0.05217391304347827,0.1391304347826087,20.51086956521739,0.4847826086956522,17.008695652173913,0.9195652173913045,0.15,0.33043478260869563,4.836956521739131,2.3543478260869564,0.5630434782608695,0.33260869565217394,0.3869565217391305,0.5021739130434782,0.7478260869565218,0.12173913043478261,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,False
1180464,Criciuma,4.989565217391304,46.29565217391304,0.1391304347826087,0.5478260869565217,0.28695652173913044,0.0782608695652174,0.07826086956521738,0.026086956521739136,0.13043478260869565,17.034782608695654,0.5391304347826087,13.339130434782609,0.6869565217391305,0.21739130434782608,0.41739130434782606,4.782608695652174,2.382608695652174,0.7217391304347827,0.39999999999999997,0.34782608695652173,0.5652173913043478,0.6086956521739131,0.13043478260869565,0.008695652173913044,0.0,0.017391304347826087,0.0,0.0,0.0,True
1180465,Atletico-MG,4.567222222222223,41.583333333333336,0.12222222222222223,0.5,0.26666666666666666,0.07777777777777778,0.044444444444444446,0.03333333333333334,0.05555555555555555,18.758333333333333,0.4555555555555555,15.580555555555556,0.9472222222222223,0.14444444444444446,0.26666666666666666,5.041666666666667,2.683333333333333,0.6111111111111112,0.3222222222222222,0.3472222222222222,0.6888888888888889,0.5555555555555556,0.16666666666666666,0.03333333333333334,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,False
1180465,Internacional,4.6036363636363635,42.279545454545456,0.06363636363636363,0.4227272727272728,0.15454545454545454,0.03636363636363637,0.018181818181818184,0.02727272727272728,0.10909090909090909,18.365909090909092,0.4022727272727273,15.036363636363637,0.8340909090909091,0.1,0.3386363636363637,5.0249999999999995,2.368181818181818,0.8522727272727273,0.45,0.40454545454545454,0.4727272727272727,0.7454545454545454,0.0931818181818182,0.0,0.0,0.009090909090909092,0.0,0.0,0.0,True
1180466,Atletico Paranaense,4.275434782608696,41.08695652173913,0.05652173913043478,0.46304347826086956,0.19130434782608696,0.05217391304347826,0.034782608695652174,0.034782608695652174,0.11304347826086956,16.017391304347825,0.5043478260869565,13.315217391304348,0.7130434782608696,0.08695652173913043,0.3760869565217391,4.306521739130434,2.110869565217391,0.5173913043478261,0.19130434782608696,0.3239130434782609,0.46956521739130436,0.6239130434782608,0.15869565217391304,0.017391304347826087,0.0,0.0,0.008695652173913044,0.0,0.0,False
1180466,Cruzeiro,5.098115942028985,44.43043478260869,0.09999999999999999,0.3963768115942029,0.18840579710144925,0.06086956521739131,0.008695652173913044,0.043478260869565216,0.1391304347826087,18.618840579710145,0.3695652173913043,15.376086956521737,0.7673913043478262,0.1217391304347826,0.33333333333333337,4.428260869565217,2.1804347826086956,0.9644927536231884,0.46014492753623193,0.3565217391304348,0.5652173913043478,0.523913043478261,0.0891304347826087,0.0,0.0,0.008695652173913044,0.008695652173913044,0.0,0.0,True
1180467,Bahia,4.8826086956521735,44.19130434782608,0.0782608695652174,0.45217391304347826,0.19130434782608696,0.08695652173913043,0.043478260869565216,0.06956521739130435,0.11304347826086956,23.88695652173913,0.4956521739130435,20.808695652173913,0.5391304347826087,0.17391304347826086,0.30434782608695654,3.991304347826087,1.9913043478260868,0.5652173913043478,0.34782608695652173,0.4608695652173913,0.4869565217391304,0.46956521739130436,0.10434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,True
1180467,Vasco DA Gama,5.0,44.71515151515152,0.06363636363636363,0.4424242424242424,0.23333333333333336,0.08787878787878788,0.1,0.02727272727272728,0.2,15.118181818181819,0.36363636363636365,11.74848484848485,0.9272727272727272,0.2727272727272727,0.3424242424242424,5.051515151515151,2.5393939393939395,0.5666666666666667,0.30909090909090914,0.3727272727272727,0.40606060606060607,0.5636363636363636,0.09696969696969697,0.018181818181818184,0.0,0.0,0.0,0.0,0.0,False
1180468,Fluminense,4.4789130434782605,40.69565217391305,0.05217391304347826,0.2956521739130435,0.11304347826086956,0.017391304347826087,0.05217391304347826,0.008695652173913044,0.16521739130434782,21.671739130434784,0.28695652173913044,18.59130434782609,0.5956521739130435,0.17391304347826086,0.32608695652173914,3.9804347826086954,1.9717391304347827,0.7630434782608696,0.33260869565217394,0.20652173913043478,0.5717391304347826,0.5565217391304348,0.10434782608695652,0.0,0.008695652173913044,0.017391304347826087,0.008695652173913044,0.0,0.0,True
1180468,Vitoria,4.552173913043478,40.00869565217391,0.06086956521739131,0.3739130434782609,0.1826086956521739,0.06956521739130435,0.06956521739130435,0.026086956521739136,0.14782608695652175,13.356521739130434,0.42608695652173906,10.321739130434782,0.7478260869565218,0.11304347826086956,0.28695652173913044,4.6173913043478265,2.356521739130435,0.8173913043478261,0.34782608695652173,0.22608695652173913,0.5478260869565217,0.43478260869565216,0.0782608695652174,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.0,0.0,False
1180469,Botafogo,4.12804347826087,36.60434782608696,0.05217391304347827,0.31521739130434784,0.09782608695652174,0.06304347826086958,0.02608695652173913,0.043478260869565216,0.1391304347826087,16.464492753623187,0.391304347826087,13.667391304347827,0.6579710144927536,0.13043478260869565,0.28695652173913044,3.459420289855072,1.7210144927536233,0.33260869565217394,0.15869565217391304,0.28405797101449276,0.4608695652173913,0.4891304347826087,0.06956521739130435,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,True
1180469,RB Bragantino,4.172727272727273,36.49090909090909,0.07272727272727274,0.3727272727272727,0.12727272727272726,0.06363636363636363,0.0,0.02727272727272728,0.0,17.89090909090909,0.31818181818181823,14.845454545454546,0.8272727272727273,0.2090909090909091,0.35454545454545455,4.5,2.1999999999999997,0.5090909090909091,0.2636363636363636,0.2545454545454545,0.4727272727272727,0.5454545454545454,0.1272727272727273,0.009090909090909092,0.0,0.0,0.009090909090909092,0.0,0.0,False
