fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
878182,529,Barcelona,2,5,10,3,7,3,7,3,1.0,63%,1.0,,3.0,565,482,85%,0.86
878187,547,Girona,4,1,6,1,3,3,6,1,4.0,50%,2.0,,3.0,529,464,88%,0.33
878187,530,Atletico Madrid,4,7,14,3,10,4,12,3,3.0,50%,3.0,,4.0,537,458,85%,2.09
878198,720,Valladolid,3,7,15,5,9,6,9,2,2.0,48%,2.0,,3.0,395,312,79%,1.08
878198,531,Athletic Club,6,7,16,3,12,4,14,9,1.0,52%,2.0,,2.0,425,326,77%,2.58
878197,723,Almeria,5,8,17,4,12,5,12,5,3.0,67%,1.0,,3.0,468,381,81%,2.53
878197,724,Cadiz,4,3,10,3,5,5,12,2,5.0,33%,4.0,,4.0,237,145,61%,1.36
878201,728,Rayo Vallecano,3,8,15,4,10,5,15,3,2.0,47%,2.0,,2.0,375,286,76%,1.95
878201,547,Girona,4,6,12,2,8,4,16,5,4.0,53%,2.0,,1.0,415,329,79%,1.80
878199,540,Espanyol,3,3,11,5,8,3,11,4,4.0,56%,2.0,,1.0,455,365,80%,1.34
878199,538,Celta Vigo,4,2,8,2,8,0,12,1,2.0,44%,2.0,,2.0,365,279,76%,1.59
878192,530,Atletico Madrid,6,7,14,1,12,2,12,4,0.0,56%,2.0,,1.0,566,488,86%,2.23
878192,532,Valencia,1,5,9,3,4,5,9,2,1.0,44%,0.0,,3.0,440,358,81%,0.95
878194,543,Real Betis,3,2,10,5,3,7,8,4,3.0,60%,1.0,,1.0,572,485,85%,0.76
878194,798,Mallorca,1,3,5,1,2,3,15,4,4.0,40%,2.0,,2.0,364,258,71%,0.18
878200,548,Real Sociedad,4,8,17,5,10,7,16,5,4.0,61%,2.0,,3.0,494,407,82%,1.96
878200,797,Elche,3,1,4,0,2,2,16,3,2.0,39%,1.0,,2.0,319,222,70%,0.10
878196,727,Osasuna,2,6,10,2,7,3,15,7,1.0,55%,3.0,,3.0,454,370,81%,0.93
878196,533,Villarreal,6,3,12,3,7,5,7,1,3.0,45%,2.0,,2.0,397,310,78%,1.79
878195,546,Getafe,4,7,15,4,10,5,22,4,4.0,37%,4.0,,4.0,299,203,68%,1.87
878195,536,Sevilla,4,6,11,1,4,7,10,1,2.0,63%,2.0,,2.0,525,429,82%,1.00
878193,529,Barcelona,7,6,17,4,12,5,12,8,1.0,54%,4.0,,3.0,558,496,89%,1.62
878193,541,Real Madrid,3,4,11,4,6,5,13,1,4.0,46%,3.0,,5.0,484,414,86%,0.55
878204,798,Mallorca,1,5,10,4,7,3,19,2,2.0,42%,7.0,1.0,2.0,290,199,69%,0.47
878204,727,Osasuna,2,6,11,3,6,5,17,3,0.0,58%,3.0,0.0,1.0,400,307,77%,0.48
878208,547,Girona,4,5,14,5,9,5,12,5,5.0,62%,4.0,1.0,0.0,465,377,81%,1.67
878208,540,Espanyol,1,2,5,2,3,2,16,2,2.0,38%,2.0,1.0,2.0,284,183,64%,1.00
878202,531,Athletic Club,3,8,16,5,10,6,9,13,4.0,65%,,,1.0,499,390,78%,0.94
878202,546,Getafe,1,7,10,2,8,2,9,3,1.0,35%,,,3.0,284,172,61%,0.76
878205,724,Cadiz,3,7,14,4,8,6,9,8,2.0,50%,3.0,,3.0,329,211,64%,1.05
878205,536,Sevilla,5,4,11,2,8,3,14,4,0.0,50%,4.0,,3.0,351,246,70%,1.09
878207,797,Elche,2,6,15,7,10,5,11,11,4.0,41%,0.0,,1.0,332,253,76%,0.81
878207,529,Barcelona,6,3,12,3,8,4,11,3,3.0,59%,3.0,,2.0,521,453,87%,1.74
878211,538,Celta Vigo,5,7,21,9,14,7,13,4,3.0,57%,3.0,,1.0,511,427,84%,1.84
878211,723,Almeria,3,3,8,2,6,2,12,1,0.0,43%,5.0,,3.0,400,308,77%,1.07
