fixture_id,team,formation,coach,player_id,player_name,number,position,grid,status
592143,Fulham,4-2-3-1,S. Parker,19657,M. Rodák,12,G,1:1,starter
592143,Fulham,4-2-3-1,S. Parker,19022,D. Odoi,4,D,2:4,starter
592143,Fulham,4-2-3-1,S. Parker,19023,T. Ream,13,D,2:3,starter
592143,Fulham,4-2-3-1,S. Parker,19373,M. Hector,3,D,2:2,starter
592143,Fulham,4-2-3-1,S. Parker,19015,J. Bryan,23,D,2:1,starter
592143,Fulham,4-2-3-1,S. Parker,19025,T. Cairney,10,M,3:2,starter
592143,Fulham,4-2-3-1,S. Parker,19027,N. Kebano,7,M,3:1,starter
592143,Fulham,4-2-3-1,S. Parker,19393,J. Onomah,25,M,4:3,starter
592143,Fulham,4-2-3-1,S. Parker,19480,H. Reed,21,M,4:2,starter
592143,Fulham,4-2-3-1,S. Parker,18751,Ivan Cavaleiro,17,M,4:1,starter
592143,Fulham,4-2-3-1,S. Parker,49923,A. Kamara,47,F,5:1,starter
592143,Fulham,4-2-3-1,S. Parker,3406,A. Zambo Anguissa,29,M,,substitute
592143,Fulham,4-2-3-1,S. Parker,2825,A. Mitrović,9,F,,substitute
592143,Fulham,4-2-3-1,S. Parker,19004,B. De Cordova-Reid,14,F,,substitute
592143,Fulham,4-2-3-1,S. Parker,253,A. Areola,1,G,,substitute
592143,Fulham,4-2-3-1,S. Parker,19019,M. Le Marchand,20,D,,substitute
592143,Fulham,4-2-3-1,S. Parker,19017,C. Christie,22,D,,substitute
592143,Fulham,4-2-3-1,S. Parker,18972,A. Knockaert,11,M,,substitute
592143,Arsenal,3-4-3,Mikel Arteta,1438,B. Leno,1,G,1:1,starter
592143,Arsenal,3-4-3,Mikel Arteta,1439,Bellerín,2,M,2:3,starter
592143,Arsenal,3-4-3,Mikel Arteta,1117,K. Tierney,3,D,2:2,starter
592143,Arsenal,3-4-3,Mikel Arteta,1440,R. Holding,16,D,2:1,starter
592143,Arsenal,3-4-3,Mikel Arteta,22224,Gabriel Magalhães,6,D,3:4,starter
592143,Arsenal,3-4-3,Mikel Arteta,1464,G. Xhaka,34,M,3:3,starter
592143,Arsenal,3-4-3,Mikel Arteta,1452,Mohamed Elneny,25,M,3:2,starter
592143,Arsenal,3-4-3,Mikel Arteta,1456,A. Maitland-Niles,15,M,3:1,starter
