fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
721092,546,Getafe,0,3,6,3,4,2,17,2,1.0,32%,4.0,1.0,,225,124,55%
721095,536,Sevilla,4,9,18,5,14,4,11,6,3.0,72%,4.0,,2.0,589,519,88%
721095,798,Mallorca,2,4,10,4,5,5,18,3,0.0,28%,6.0,,3.0,238,159,67%
721098,797,Elche,0,4,9,5,4,5,16,6,1.0,56%,2.0,,3.0,555,459,83%
721098,530,Atletico Madrid,6,5,11,0,7,4,7,3,8.0,44%,2.0,,0.0,441,346,78%
721094,548,Real Sociedad,7,4,13,2,11,2,13,2,1.0,53%,4.0,,1.0,451,368,82%
721094,724,Cadiz,1,9,14,4,9,5,11,12,7.0,47%,2.0,,4.0,387,292,75%
721097,728,Rayo Vallecano,3,6,17,8,11,6,13,9,3.0,56%,5.0,,3.0,421,359,85%
721097,533,Villarreal,8,3,11,0,8,3,10,3,1.0,44%,2.0,,2.0,341,281,82%
721093,541,Real Madrid,16,9,27,2,18,9,8,6,3.0,54%,2.0,,1.0,534,474,89%
721093,539,Levante,1,7,16,8,6,10,6,6,2.0,46%,1.0,,10.0,450,382,85%
721106,540,Espanyol,3,2,5,0,3,2,18,2,3.0,48%,4.0,,4.0,383,315,82%
721106,532,Valencia,5,9,18,4,12,6,15,3,0.0,52%,1.0,,2.0,408,328,80%
721100,530,Atletico Madrid,3,5,12,4,9,3,14,4,1.0,41%,2.0,,3.0,348,269,77%
721100,536,Sevilla,4,3,8,1,6,2,18,5,0.0,59%,5.0,,2.0,501,420,84%
721099,531,Athletic Club,8,4,14,2,9,5,6,10,4.0,45%,,,1.0,409,317,78%
721099,727,Osasuna,1,2,8,5,3,5,14,6,0.0,55%,,,6.0,491,390,79%
721108,533,Villarreal,4,4,10,2,7,3,12,4,3.0,49%,4.0,,5.0,383,293,77%
