id_partida,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
35206,71,"Rafael Traci, Brazil",2017-10-13T00:00:00+00:00,Allianz Parque,Palmeiras,121,Bahia,118,,2,2,2,1
35205,71,"Vinicius Goncalves Dias Araujo, Brazil",2017-10-14T22:00:00+00:00,São Januário,Vasco DA Gama,133,Botafogo,120,True,1,0,0,0
35204,71,"Marcelo De Lima Henrique, Brazil",2017-10-15T00:00:00+00:00,Morumbi,Sao Paulo,126,Atletico Paranaense,134,True,2,1,0,0
35203,71,"Leandro Bizzio Marinho,",2017-10-15T19:00:00+00:00,Ilha do Retiro,Sport Recife,123,Atletico-MG,1062,,1,1,1,1
35202,71,"Flavio Rodrigues De Souza, Brazil",2017-10-15T19:00:00+00:00,Estadio Giulite Coutinho,Fluminense,124,Avai,145,True,1,0,1,0
35201,71,"Dewson Fernando Freitas da Silva, Brazil",2017-10-15T19:00:00+00:00,Arena Condá,Chapecoense-sc,132,Flamengo,127,False,0,1,0,0
35200,71,"Rodolpho Toski Marques, Brazil",2017-10-15T19:00:00+00:00,Serra Dourada,Atletico Goianiense,144,Palmeiras,121,False,1,3,0,2
35198,71,"Ricardo Marques Ribeiro, Brazil",2017-10-15T21:00:00+00:00,Arena Fonte Nova,Bahia,118,Corinthians,131,True,2,0,0,0
35199,71,"Andre Luiz de Freitas Castro, Brazil",2017-10-15T21:00:00+00:00,Estádio Couto Pereira,Coritiba,147,Gremio,130,False,0,1,0,0
35197,71,"Braulio Da Silva Machado, Brazil",2017-10-16T22:00:00+00:00,Urbano Caldeira,Santos,128,Vitoria,136,,2,2,1,1
35195,71,"Claudio Francisco Lima E. Silva, Brazil",2017-10-18T21:30:00+00:00,Serra Dourada,Atletico Goianiense,144,Vasco DA Gama,133,False,0,1,0,1
35196,71,"Marcelo De Lima Henrique, Brazil",2017-10-18T21:30:00+00:00,Estádio Couto Pereira,Coritiba,147,Cruzeiro,135,True,1,0,1,0
35194,71,"Vinicius Goncalves Dias Araujo, Brazil",2017-10-18T23:00:00+00:00,Arena Independência,Atletico-MG,1062,Chapecoense-sc,132,False,2,3,1,2
