fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
688918,1193,Cuiaba,2,8,14,4,8,6,14,9,0.0,59%,1.0,,1.0,481,412,86%
688918,152,Juventude,3,3,7,1,4,3,14,1,1.0,41%,3.0,,0.0,340,265,78%
688915,118,Bahia,3,2,5,0,4,1,18,4,2.0,34%,3.0,,4.0,305,231,76%
688915,128,Santos,4,5,12,3,3,9,9,11,2.0,66%,3.0,,0.0,559,498,89%
688911,126,Sao Paulo,3,2,7,2,6,1,10,4,2.0,71%,1.0,,5.0,636,553,87%
688911,124,Fluminense,5,4,11,2,9,2,12,5,2.0,29%,2.0,,3.0,251,177,71%
688912,1062,Atletico-MG,4,5,13,4,5,8,16,5,2.0,54%,2.0,,3.0,399,327,82%
688912,154,Fortaleza EC,5,8,18,5,9,9,19,4,3.0,46%,4.0,,3.0,330,272,82%
688909,127,Flamengo,10,3,14,1,9,5,25,3,0.0,61%,2.0,,4.0,504,439,87%
688909,121,Palmeiras,4,6,12,2,4,8,21,4,3.0,39%,3.0,,8.0,303,247,82%
688914,129,Ceara,6,5,12,1,9,3,17,5,2.0,35%,3.0,,1.0,275,197,72%
688914,130,Gremio,3,5,12,4,8,4,18,4,0.0,65%,3.0,,3.0,518,433,84%
688910,131,Corinthians,6,5,15,4,9,6,18,10,1.0,60%,5.0,,1.0,518,430,83%
688910,144,Atletico Goianiense,2,3,7,2,1,6,14,3,5.0,40%,3.0,,6.0,351,254,72%
688917,132,Chapecoense-sc,2,6,10,2,5,5,9,5,0.0,43%,1.0,,5.0,429,341,79%
688917,794,RB Bragantino,8,8,18,2,12,6,12,7,2.0,57%,0.0,,2.0,555,485,87%
688916,134,Atletico Paranaense,5,5,11,1,6,5,18,3,,56%,1.0,,4.0,551,462,84%
688916,125,America Mineiro,4,6,14,4,5,9,9,1,,44%,2.0,,4.0,428,351,82%
688913,119,Internacional,4,6,11,1,8,3,24,6,0.0,57%,4.0,,3.0,488,421,86%
