fixture_id,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
1180694,71,Rafael Rodrigo Klein,2024-11-20T19:30:00+00:00,Estádio Heriberto Hülse,Criciuma,140,Vitoria,136,False,0,1,0,0
1180691,71,Wilton Pereira Sampaio,2024-11-20T19:30:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Sao Paulo,126,,1,1,1,1
1180687,71,Wagner do Nascimento Magalhaes,2024-11-20T21:00:00+00:00,Arena Fonte Nova,Bahia,118,Palmeiras,121,False,1,2,1,1
1180685,71,Bruno Arleu de Araújo,2024-11-20T22:00:00+00:00,Arena do Grêmio,Gremio,130,Juventude,152,,2,2,1,1
1180693,71,Edina Alves Batista,2024-11-20T22:00:00+00:00,Arena Pantanal,Cuiaba,1193,Flamengo,127,False,1,2,0,0
1180686,71,Luiz Flávio,2024-11-21T00:30:00+00:00,Estádio Raimundo Sampaio,Atletico-MG,1062,Botafogo,120,,0,0,0,0
1180689,71,Rodrigo José Pereira de Lima,2024-11-21T23:00:00+00:00,Estádio São Januário,Vasco DA Gama,133,Internacional,119,False,0,1,0,0
1180688,71,Raphael Claus,2024-11-23T00:30:00+00:00,Estadio Jornalista Mário Filho,Fluminense,124,Fortaleza EC,154,,2,2,1,2
1180699,71,Ramon Abatti,2024-11-23T22:30:00+00:00,Estádio Nilton Santos,Botafogo,120,Vitoria,136,,1,1,0,1
1180703,71,Jonathan Benkenstein Pinheiro,2024-11-23T22:30:00+00:00,Estádio Antônio Accioly,Atletico Goianiense,144,Palmeiras,121,False,0,1,0,1
1180704,71,Matheus Delgado Candançan,2024-11-23T22:30:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Cuiaba,1193,,1,1,0,0
1180701,71,Alex Gomes,2024-11-24T00:30:00+00:00,MorumBIS,Sao Paulo,126,Atletico-MG,1062,,2,2,2,2
1180697,71,Rodrigo José Pereira de Lima,2024-11-24T19:00:00+00:00,Arena Fonte Nova,Bahia,118,Atletico Paranaense,134,,1,1,0,0
1180695,71,Marcelo de Lima Henrique,2024-11-24T19:00:00+00:00,Estádio José Pinheiro Borda,Internacional,119,RB Bragantino,794,True,4,1,2,1
1180700,71,Davi de Oliveira Lacerda,2024-11-24T19:00:00+00:00,Neo Química Arena,Corinthians,131,Vasco DA Gama,133,True,3,1,3,0
1180698,71,Luiz Flávio,2024-11-26T22:00:00+00:00,Estadio Jornalista Mário Filho,Fluminense,124,Criciuma,140,,0,0,0,0
