fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
328347,120,Botafogo,8,3,19,8,10.0,9.0,12,4.0,2.0,47%,3.0,0.0,1.0,433.0,371.0,86%
328347,126,Sao Paulo,1,5,7,1,4.0,3.0,15,3.0,0.0,53%,5.0,1.0,7.0,457.0,386.0,84%
328358,118,Bahia,5,8,16,3,11.0,5.0,11,4.0,2.0,48%,,,5.0,447.0,383.0,86%
328358,128,Santos,5,6,15,4,7.0,8.0,13,4.0,1.0,52%,,,3.0,476.0,425.0,89%
328359,119,Internacional,5,6,16,5,14.0,2.0,13,12.0,6.0,52%,0.0,,1.0,420.0,334.0,80%
328359,131,Corinthians,1,2,6,3,2.0,4.0,16,5.0,1.0,48%,2.0,,5.0,391.0,290.0,74%
328363,124,Fluminense,3,2,9,4,8.0,1.0,10,3.0,0.0,48%,,,2.0,396.0,342.0,86%
328363,154,Fortaleza EC,2,7,9,0,3.0,6.0,12,5.0,1.0,52%,,,1.0,421.0,359.0,85%
328355,126,Sao Paulo,2,1,4,1,1.0,3.0,27,1.0,0.0,36%,6.0,,,301.0,229.0,76%
328355,127,Flamengo,1,13,19,5,13.0,6.0,24,7.0,2.0,64%,3.0,,,507.0,427.0,84%
328356,129,Ceara,6,5,12,1,8.0,4.0,7,5.0,0.0,47%,4.0,1.0,2.0,470.0,408.0,87%
328356,120,Botafogo,3,8,17,6,11.0,6.0,4,7.0,2.0,53%,0.0,0.0,4.0,503.0,456.0,91%
328364,133,Vasco DA Gama,12,6,27,9,15.0,12.0,12,9.0,2.0,48%,1.0,,3.0,387.0,330.0,85%
328364,151,Goias,5,7,20,8,9.0,11.0,18,6.0,2.0,52%,2.0,,9.0,407.0,344.0,85%
328361,134,Atletico Paranaense,8,8,18,2,8.0,10.0,15,8.0,2.0,56%,0.0,,4.0,480.0,405.0,84%
328361,123,Sport Recife,4,6,15,5,8.0,7.0,10,5.0,2.0,44%,1.0,,6.0,362.0,292.0,81%
328362,144,Atletico Goianiense,7,8,18,3,10.0,8.0,8,7.0,1.0,55%,0.0,,0.0,556.0,488.0,88%
328362,147,Coritiba,1,8,9,0,5.0,4.0,9,4.0,1.0,45%,1.0,,4.0,435.0,358.0,82%
328360,794,Bragantino,6,7,19,6,14.0,5.0,24,3.0,1.0,55%,4.0,,2.0,469.0,386.0,82%
328360,130,Gremio,2,12,15,1,6.0,9.0,12,7.0,0.0,45%,0.0,,5.0,369.0,294.0,80%
328357,1062,Atletico-MG,8,7,19,4,13.0,6.0,22,5.0,5.0,51%,3.0,,4.0,452.0,403.0,89%
328357,121,Palmeiras,4,4,9,1,5.0,4.0,17,4.0,1.0,49%,0.0,,6.0,425.0,342.0,80%
