fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
1208517,728,Rayo Vallecano,4,3,8,1,6,2,17,6,4.0,35%,3.0,,3.0,270,201,74%,0.43,0.0
1208517,529,Barcelona,5,6,22,11,11,11,11,6,1.0,65%,1.0,,3.0,529,444,84%,1.40,0.0
1208512,531,Athletic Club,4,4,13,5,12,1,14,5,1.0,51%,1.0,,0.0,418,331,79%,1.38,0.0
1208512,532,Valencia,0,1,2,1,1,1,9,3,3.0,49%,3.0,,3.0,415,314,76%,0.08,0.0
1208520,720,Valladolid,2,9,12,1,11,1,13,4,0.0,59%,1.0,,1.0,493,432,88%,1.00,0.0
1208520,537,Leganes,1,4,7,2,2,5,19,4,2.0,41%,5.0,,2.0,360,295,82%,0.18,0.0
1212912,530,Atletico Madrid,7,10,25,8,18,7,6,9,6.0,62%,0.0,,1.0,595,523,88%,2.47,1.0
1212912,540,Espanyol,1,7,8,0,4,4,9,3,0.0,38%,2.0,,7.0,362,289,80%,0.61,1.0
1208519,548,Real Sociedad,1,6,10,3,5,5,16,8,3.0,53%,4.0,1.0,3.0,350,270,77%,1.15,0.0
1208519,542,Alaves,5,8,14,1,11,3,13,6,3.0,47%,4.0,0.0,0.0,304,227,75%,1.54,0.0
1208514,547,Girona,5,3,10,2,8,2,10,5,5.0,60%,,,0.0,572,519,91%,2.29,0.0
1208514,727,Osasuna,0,1,1,0,0,1,9,0,2.0,40%,,,1.0,396,332,84%,0.04,0.0
1208516,534,Las Palmas,2,4,7,1,4,3,16,2,1.0,44%,0.0,,7.0,422,360,85%,0.76,0.0
1208516,541,Real Madrid,8,10,25,7,18,7,13,6,0.0,56%,2.0,,1.0,547,477,87%,2.95,0.0
1208522,529,Barcelona,11,7,23,5,17,6,6,10,4.0,71%,0.0,,1.0,595,545,92%,3.84,0.0
1208522,720,Valladolid,1,2,4,1,2,2,12,1,4.0,29%,3.0,,4.0,247,197,80%,0.43,0.0
1208521,531,Athletic Club,1,5,8,2,2,6,13,2,1.0,53%,3.0,,1.0,585,508,87%,0.29,0.0
1208521,530,Atletico Madrid,2,4,9,3,7,2,9,2,2.0,47%,1.0,,1.0,524,439,84%,1.73,0.0
1212913,540,Espanyol,3,4,10,3,7,3,14,3,0.0,47%,3.0,,4.0,355,276,78%,1.73,0.0
1212913,728,Rayo Vallecano,5,7,17,5,9,8,16,7,2.0,53%,2.0,,1.0,390,318,82%,1.35,0.0
1208524,532,Valencia,5,9,22,8,10,12,15,14,1.0,58%,3.0,0.0,1.0,479,419,87%,0.90,0.0
1208524,533,Villarreal,2,4,9,3,5,4,11,3,1.0,42%,5.0,1.0,4.0,372,306,82%,0.60,0.0
1208526,537,Leganes,2,6,9,1,5,4,11,1,3.0,54%,1.0,,2.0,473,391,83%,0.34,0.0
1208526,798,Mallorca,3,5,12,4,9,3,17,3,0.0,46%,3.0,,2.0,400,317,79%,0.98,0.0
1208525,542,Alaves,5,6,15,4,9,6,13,6,1.0,29%,3.0,,6.0,239,167,70%,2.04,0.0
1208525,534,Las Palmas,6,5,12,1,7,5,9,5,0.0,71%,0.0,,3.0,603,524,87%,0.62,0.0
1208528,727,Osasuna,3,2,10,5,7,3,19,6,3.0,50%,2.0,0.0,3.0,451,376,83%,0.89,-1.0
1208528,538,Celta Vigo,4,4,12,4,5,7,10,3,3.0,50%,0.0,1.0,1.0,460,381,83%,1.66,-1.0
1208529,536,Sevilla,5,6,16,5,8,8,6,7,4.0,49%,3.0,,2.0,433,366,85%,0.97,0.0
1208529,547,Girona,4,5,11,2,9,2,14,5,0.0,51%,2.0,,5.0,433,384,89%,1.94,0.0
1208523,546,Getafe,1,7,16,8,4,12,14,4,2.0,53%,1.0,,0.0,340,229,67%,0.57,0.0
1208523,548,Real Sociedad,0,0,1,1,0,1,16,1,1.0,47%,1.0,,1.0,314,210,67%,0.02,0.0
1208527,541,Real Madrid,7,6,22,9,18,4,9,7,1.0,60%,2.0,,2.0,608,546,90%,2.45,0.0
1208527,543,Real Betis,2,3,11,6,8,3,17,3,2.0,40%,0.0,,5.0,421,353,84%,0.51,0.0
1208531,543,Real Betis,5,6,14,3,10,4,11,11,2.0,64%,1.0,,0.0,611,533,87%,2.12,0.0
1208531,537,Leganes,0,2,3,1,1,2,18,1,1.0,36%,2.0,,3.0,352,263,75%,0.10,0.0
1208533,798,Mallorca,4,3,9,2,7,2,11,7,2.0,54%,3.0,1.0,2.0,439,356,81%,0.35,0.0
1208533,533,Villarreal,4,9,21,8,12,9,10,6,1.0,46%,3.0,0.0,4.0,385,313,81%,1.77,0.0
1212914,540,Espanyol,4,4,9,1,7,2,17,0,3.0,38%,2.0,,4.0,266,202,76%,1.56,0.0
1212914,542,Alaves,6,7,19,6,16,3,14,5,0.0,62%,3.0,,1.0,429,335,78%,2.26,0.0
1208536,536,Sevilla,4,4,10,2,8,2,19,3,1.0,61%,3.0,1.0,4.0,442,351,79%,1.41,0.0
1208536,546,Getafe,4,6,15,5,6,9,15,4,2.0,39%,4.0,0.0,3.0,266,186,70%,0.99,0.0
1208538,548,Real Sociedad,2,5,11,4,7,4,12,6,2.0,48%,4.0,,4.0,453,393,87%,1.07,0.0
1208538,541,Real Madrid,6,2,16,8,10,6,9,6,1.0,52%,1.0,,2.0,494,437,88%,2.38,0.0
1208532,538,Celta Vigo,9,1,14,4,12,2,14,5,3.0,54%,3.0,0.0,1.0,484,419,87%,1.84,0.0
1208532,720,Valladolid,2,2,6,2,5,1,15,3,1.0,46%,5.0,1.0,6.0,406,344,85%,0.51,0.0
1208535,547,Girona,4,3,9,2,7,2,13,1,7.0,45%,3.0,0.0,5.0,392,343,88%,1.35,0.0
1208535,529,Barcelona,9,9,20,2,13,7,4,6,0.0,55%,2.0,1.0,3.0,476,414,87%,1.82,0.0
1208534,534,Las Palmas,6,4,15,5,9,6,8,9,0.0,65%,1.0,0.0,1.0,599,498,83%,1.16,0.0
1208534,531,Athletic Club,4,5,9,0,6,3,12,3,1.0,35%,2.0,1.0,3.0,334,231,69%,2.24,0.0
1208530,530,Atletico Madrid,4,9,14,1,14,0,10,7,1.0,53%,1.0,,1.0,515,438,85%,3.24,0.0
1208530,532,Valencia,1,3,5,1,2,3,8,3,2.0,47%,2.0,,1.0,465,385,83%,0.15,0.0
1208537,728,Rayo Vallecano,6,8,17,3,11,6,12,7,3.0,66%,3.0,,1.0,485,386,80%,1.68,-1.0
1208537,727,Osasuna,2,3,5,0,4,1,15,4,0.0,34%,2.0,,3.0,250,146,58%,0.33,-1.0
1208550,798,Mallorca,4,5,10,1,8,2,5,5,3.0,40%,1.0,,5.0,364,280,77%,1.19,0.0
1208550,548,Real Sociedad,5,6,13,2,6,7,10,5,1.0,60%,1.0,,3.0,537,448,83%,0.59,0.0
1208513,543,Real Betis,7,6,17,4,12,5,10,8,0.0,66%,3.0,,4.0,503,401,80%,2.93,0.0
1208513,546,Getafe,5,7,15,3,7,8,20,4,2.0,34%,5.0,,6.0,251,173,69%,0.61,0.0
1208552,537,Leganes,3,10,14,1,7,7,12,4,4.0,48%,3.0,,2.0,421,325,77%,0.94,0.0
1208552,531,Athletic Club,4,4,10,2,7,3,11,7,3.0,52%,0.0,,3.0,456,381,84%,1.32,0.0
1208542,542,Alaves,4,3,10,3,7,3,11,3,1.0,35%,1.0,,1.0,263,162,62%,1.10,-1.0
1208542,536,Sevilla,2,3,8,3,4,4,16,5,2.0,65%,4.0,,2.0,501,421,84%,0.52,-1.0
1208546,720,Valladolid,2,6,15,7,8,7,15,5,0.0,35%,4.0,,3.0,269,193,72%,1.02,0.0
1208546,548,Real Sociedad,4,5,14,5,11,3,12,7,3.0,65%,4.0,,2.0,526,446,85%,1.47,0.0
