fixture_id,time_elapsed,time_extra,team_id,team_name,team_logo,player_id,player_name,assist_id,assist_name,type,detail,comments
1180436,36,,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,9926.0,Gustavo Scarpa,,,Card,Yellow Card,Foul
1180436,45,2.0,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,51466.0,Joaquín Piquerez,,,Card,Yellow Card,Foul
1180436,46,,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,9872.0,Igor Rabello,415116.0,Alisson,subst,Substitution 1,
1180436,51,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,6347.0,Aníbal Moreno,,,Card,Yellow Card,Foul
1180436,60,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,51466.0,J. Piquerez,,,Goal,Penalty,
1180436,61,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,425733.0,Estêvão,,,Goal,Normal Goal,
1180436,61,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,425733.0,Estêvão,,,Card,Yellow Card,
1180436,70,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,425733.0,Estêvão,9917.0,Mayke,subst,Substitution 1,
1180436,71,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,51466.0,J. Piquerez,279800.0,Vanderlan,subst,Substitution 2,
1180436,73,,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,2477.0,Matías Zaracho,,,Card,Yellow Card,Argument
1180436,75,,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,9926.0,Gustavo Scarpa,306726.0,B. Palacios,subst,Substitution 2,
1180436,80,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,6347.0,A. Moreno,279805.0,Fabinho,subst,Substitution 3,
1180436,80,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,237103.0,Lázaro,195111.0,Gabriel Menino,subst,Substitution 4,
1180436,80,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,10143.0,Rony,295513.0,J. López,subst,Substitution 5,
1180436,83,,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,2477.0,M. Zaracho,10244.0,Pedrinho,subst,Substitution 3,
1180436,87,,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,363698.0,Cadu,12825.0,Alan Kardec,subst,Substitution 4,
1180436,90,8.0,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,987.0,Paulinho,,,Card,Red Card,Violent conduct
1180436,90,5.0,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,295513.0,J. López,279800.0,Vanderlan,Goal,Normal Goal,
