fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
35476,127,Flamengo,3,6,11,2.0,9,2,7,4,3.0,41%,2.0,0,1.0,345,269,78%
35476,1062,Atletico-MG,4,7,15,4.0,7,8,10,6,1.0,59%,3.0,0,1.0,501,413,82%
35475,131,Corinthians,2,3,5,0.0,2,3,10,1,1.0,66%,2.0,0,1.0,638,539,84%
35475,132,Chapecoense-sc,2,8,16,6.0,9,7,12,7,3.0,34%,2.0,0,1.0,304,227,75%
35474,124,Fluminense,5,3,9,1.0,8,1,15,5,2.0,38%,1.0,0,5.0,306,261,85%
35474,128,Santos,7,10,20,3.0,13,7,18,8,2.0,62%,5.0,0,2.0,512,454,89%
35470,118,Bahia,9,8,28,11.0,17,11,11,14,4.0,39%,0.0,0,3.0,290,234,81%
35470,134,Atletico Paranaense,5,3,11,3.0,8,3,11,3,1.0,61%,2.0,1,3.0,473,409,86%
35472,121,Palmeiras,10,4,16,2.0,14,2,19,3,5.0,51%,0.0,0,5.0,399,345,86%
35472,133,Vasco DA Gama,5,9,15,1.0,8,7,16,2,2.0,49%,2.0,0,5.0,378,317,84%
35471,135,Cruzeiro,5,2,8,1.0,4,4,10,5,,37%,0.0,0,3.0,324,244,75%
35471,126,Sao Paulo,3,7,13,3.0,7,6,13,5,,63%,1.0,0,4.0,538,454,84%
35473,139,Ponte Preta,6,5,11,0.0,9,2,13,4,2.0,50%,0.0,0,0.0,456,373,82%
35473,123,Sport Recife,0,2,4,2.0,3,1,17,2,1.0,50%,2.0,0,2.0,458,368,80%
35469,145,Avai,2,7,12,3.0,5,7,6,7,2.0,37%,0.0,0,1.0,321,229,71%
35469,136,Vitoria,1,9,12,2.0,5,7,15,4,2.0,63%,2.0,0,2.0,573,457,80%
35468,130,Gremio,9,6,20,5.0,15,5,13,6,1.0,52%,2.0,0,0.0,450,367,82%
35468,120,Botafogo,0,6,9,3.0,6,3,19,4,1.0,48%,5.0,0,6.0,415,336,81%
35467,147,Coritiba,7,6,17,4.0,7,10,17,6,1.0,60%,1.0,0,8.0,494,422,85%
35467,144,Atletico Goianiense,9,5,17,3.0,8,9,13,6,1.0,40%,2.0,0,3.0,315,243,77%
35466,128,Santos,3,4,7,0.0,5,2,24,3,1.0,47%,6.0,0,11.0,338,257,76%
35466,147,Coritiba,11,7,23,5.0,8,15,17,4,2.0,53%,4.0,0,2.0,378,301,80%
35465,132,Chapecoense-sc,4,3,11,4.0,9,2,16,3,1.0,44%,1.0,0,1.0,313,219,70%
35465,121,Palmeiras,1,1,6,4.0,1,5,13,4,2.0,56%,1.0,0,3.0,393,288,73%
35464,144,Atletico Goianiense,0,2,8,6.0,3,5,11,4,0.0,34%,2.0,0,8.0,332,259,78%
35464,127,Flamengo,11,6,20,3.0,12,8,13,7,1.0,66%,1.0,0,0.0,641,571,89%
35463,133,Vasco DA Gama,10,1,16,5.0,9,7,13,10,3.0,59%,4.0,0,2.0,373,290,78%
35463,118,Bahia,3,5,9,1.0,5,4,23,5,3.0,41%,3.0,1,8.0,253,178,70%
35460,134,Atletico Paranaense,1,8,18,9.0,7,11,11,5,0.0,60%,2.0,0,2.0,566,501,89%
35460,130,Gremio,4,1,6,1.0,5,1,16,3,3.0,40%,5.0,1,1.0,372,300,81%
35462,136,Vitoria,3,9,14,2.0,6,8,13,3,0.0,47%,0.0,0,3.0,419,349,83%
35462,131,Corinthians,4,5,12,3.0,8,4,6,4,2.0,53%,1.0,0,3.0,473,407,86%
35461,1062,Atletico-MG,3,13,20,4.0,13,7,18,12,3.0,60%,0.0,0,3.0,420,343,82%
