fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
1005971,794,RB Bragantino,3,3,10,4,5,5,24,5,2.0,43%,2.0,,4,322,238,74%,0.54
1005976,134,Atletico Paranaense,3,11,20,6,11,9,20,15,3.0,57%,1.0,,2,345,264,77%,1.26
1005976,154,Fortaleza EC,3,7,13,3,6,7,12,2,1.0,43%,0.0,,2,268,191,71%,0.62
1005969,127,Flamengo,6,3,12,3,8,4,13,4,0.0,52%,1.0,0.0,1,510,465,91%,1.38
1005969,121,Palmeiras,1,7,12,4,7,5,17,5,3.0,48%,1.0,1.0,3,468,425,91%,0.94
1005972,131,Corinthians,9,3,15,3,13,2,8,5,3.0,40%,1.0,,2,346,259,75%,1.47
1005972,1062,Atletico-MG,3,7,14,4,8,6,19,6,0.0,60%,4.0,,8,527,454,86%,1.10
1005973,151,Goias,3,6,13,4,10,3,19,5,2.0,58%,2.0,,3,436,350,80%,0.85
1005973,128,Santos,4,6,15,5,7,8,13,6,1.0,42%,1.0,,3,316,243,77%,1.18
1005977,118,Bahia,4,5,15,6,12,3,10,7,0.0,62%,1.0,1.0,3,554,475,86%,0.74
1005977,1193,Cuiaba,6,2,11,3,8,3,23,4,3.0,38%,3.0,0.0,4,325,271,83%,2.20
1005970,120,Botafogo,5,4,12,3,8,4,8,2,,51%,1.0,,2,392,300,77%,1.45
1005970,130,Gremio,6,4,13,3,11,2,17,6,,49%,1.0,,2,377,276,73%,2.23
1005986,147,Coritiba,3,2,7,2,3,4,15,1,2.0,45%,4.0,,4,341,256,75%,0.71
1005986,135,Cruzeiro,4,6,13,3,6,7,18,5,1.0,55%,4.0,,2,408,324,79%,0.55
1005979,127,Flamengo,7,1,11,3,9,2,13,5,3.0,42%,1.0,1.0,3,383,318,83%,0.86
1005979,124,Fluminense,4,4,13,5,4,9,17,2,2.0,58%,4.0,1.0,6,544,489,90%,1.38
1005981,121,Palmeiras,10,5,18,3,8,10,13,6,3.0,39%,1.0,,5,341,260,76%,1.67
1005981,119,Internacional,5,2,7,0,6,1,13,3,1.0,61%,3.0,,7,559,479,86%,0.76
1005985,130,Gremio,9,12,26,5,15,11,15,12,2.0,74%,2.0,1.0,3,596,522,88%,1.33
1005985,131,Corinthians,4,4,10,2,5,5,6,1,0.0,26%,6.0,1.0,9,216,143,66%,0.59
1005983,794,RB Bragantino,7,13,25,5,10,15,12,7,0.0,65%,2.0,,2,475,381,80%,2.87
1005983,120,Botafogo,4,3,11,4,6,5,16,3,3.0,35%,1.0,,5,260,150,58%,0.89
1005987,118,Bahia,5,16,28,7,16,12,8,11,,51%,3.0,,3,408,318,78%,2.45
1005987,134,Atletico Paranaense,4,0,6,2,5,1,14,5,,49%,4.0,,4,406,313,77%,0.70
1005982,128,Santos,3,5,11,3,4,7,12,1,1.0,30%,0.0,,3,252,193,77%,0.60
1005982,126,Sao Paulo,3,6,13,4,9,4,14,4,1.0,70%,2.0,,3,587,510,87%,1.20
1005980,133,Vasco DA Gama,6,8,17,3,11,6,13,7,,50%,1.0,,5,377,314,83%,1.23
1005980,125,America Mineiro,6,5,17,6,15,2,12,8,,50%,1.0,,4,384,317,83%,2.57
1005984,1062,Atletico-MG,4,2,8,2,5,3,17,3,1.0,48%,0.0,1.0,4,406,324,80%,1.28
1005984,151,Goias,6,7,21,8,11,10,16,7,3.0,52%,2.0,0.0,2,424,346,82%,0.95
1005988,1193,Cuiaba,4,3,7,0,5,2,7,2,2.0,36%,1.0,,2,340,275,81%,1.67
1005988,154,Fortaleza EC,3,4,13,6,9,4,15,9,2.0,64%,2.0,,2,603,543,90%,0.45
1005947,154,Fortaleza EC,7,7,18,4,11,7,16,11,6.0,53%,1.0,,1,350,284,81%,1.32
1005947,135,Cruzeiro,2,4,7,1,3,4,14,1,0.0,47%,2.0,,7,333,265,80%,0.84
1005974,135,Cruzeiro,4,7,14,3,6,8,12,7,3.0,50%,1.0,0.0,2,374,297,79%,1.39
1005974,133,Vasco DA Gama,4,5,9,0,7,2,9,5,6.0,50%,0.0,1.0,2,374,297,79%,0.67
