fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
37351,135,Cruzeiro,2,7,12,3.0,6,6,20,7,0.0,40%,3.0,0,1,425,347,82%
37351,130,Gremio,2,2,6,2.0,4,2,15,4,3.0,60%,1.0,1,2,649,559,86%
37350,136,Vitoria,6,10,21,5.0,11,10,24,4,2.0,66%,3.0,0,3,545,484,89%
37350,127,Flamengo,5,5,10,0.0,5,5,10,5,2.0,34%,2.0,1,3,286,206,72%
37349,128,Santos,3,12,22,7.0,13,10,7,4,1.0,53%,0.0,0,2,532,481,90%
37349,129,Ceara,2,3,10,5.0,0,10,5,2,0.0,47%,1.0,0,2,472,404,86%
37348,125,America Mineiro,4,9,13,0.0,7,6,11,2,4.0,38%,1.0,0,5,363,278,77%
37348,123,Sport Recife,5,6,15,4.0,7,8,12,6,3.0,62%,3.0,0,1,581,494,85%
37346,119,Internacional,4,6,13,3.0,9,4,16,4,1.0,45%,2.0,0,2,412,309,75%
37346,118,Bahia,2,6,12,4.0,3,9,18,3,1.0,55%,0.0,0,2,491,406,83%
37345,131,Corinthians,2,5,11,4.0,4,7,14,6,0.0,64%,0.0,0,2,515,433,84%
37345,124,Fluminense,3,6,13,4.0,9,4,15,2,0.0,36%,0.0,0,0,293,216,74%
37347,133,Vasco DA Gama,7,6,19,6.0,11,8,11,9,3.0,66%,4.0,0,5,596,526,88%
37347,1062,Atletico-MG,6,5,11,0.0,5,6,18,3,3.0,34%,3.0,0,6,321,252,79%
37344,134,Atletico Paranaense,8,5,18,5.0,11,7,10,3,3.0,69%,1.0,0,0,646,596,92%
37344,132,Chapecoense-sc,1,6,14,7.0,6,8,16,9,1.0,31%,3.0,0,3,271,209,77%
37342,120,Botafogo,3,9,13,1.0,7,6,7,8,0.0,46%,1.0,0,3,409,328,80%
37342,121,Palmeiras,4,2,7,1.0,6,1,23,3,0.0,54%,4.0,0,2,498,407,82%
37343,126,Sao Paulo,5,4,10,1.0,7,3,20,7,3.0,51%,4.0,0,1,480,416,87%
37343,122,Parana,1,4,7,2.0,3,4,15,7,2.0,49%,2.0,0,4,446,376,84%
37341,118,Bahia,5,5,12,2.0,8,4,29,7,2.0,53%,4.0,0,2,395,334,85%
37341,128,Santos,2,4,8,2.0,6,2,21,6,5.0,47%,3.0,0,4,352,284,81%
37340,127,Flamengo,5,6,14,3.0,8,6,15,6,1.0,49%,1.0,0,5,345,286,83%
37340,125,America Mineiro,5,5,18,8.0,11,7,17,12,0.0,51%,1.0,0,3,345,275,80%
37339,122,Parana,6,5,17,6.0,5,12,16,5,2.0,48%,1.0,0,0,413,348,84%
37339,131,Corinthians,4,4,9,1.0,8,1,16,2,1.0,52%,1.0,0,6,467,387,83%
37338,121,Palmeiras,2,8,13,3.0,7,6,14,8,0.0,44%,2.0,0,3,390,309,79%
37338,119,Internacional,2,4,7,1.0,4,3,15,9,2.0,56%,2.0,0,1,483,394,82%
37337,124,Fluminense,1,0,3,2.0,2,1,13,1,0.0,31%,3.0,1,5,273,190,70%
37337,135,Cruzeiro,6,6,16,4.0,11,5,19,7,3.0,69%,2.0,0,0,576,491,85%
37335,129,Ceara,3,4,14,7.0,3,11,12,7,1.0,50%,1.0,0,3,490,421,86%
37335,126,Sao Paulo,3,7,11,1.0,4,7,7,7,1.0,50%,1.0,0,3,473,409,86%
37336,132,Chapecoense-sc,2,6,10,2.0,4,6,13,3,2.0,36%,1.0,0,3,306,230,75%
37336,133,Vasco DA Gama,4,9,17,4.0,9,8,8,3,2.0,64%,2.0,0,1,559,472,84%
37334,1062,Atletico-MG,5,5,12,2.0,5,7,22,6,6.0,60%,2.0,0,3,497,431,87%
37334,136,Vitoria,3,6,11,2.0,8,4,19,5,1.0,40%,4.0,0,3,321,252,79%
37333,130,Gremio,6,12,22,4.0,15,7,9,7,3.0,49%,3.0,0,1,587,507,86%
37333,134,Atletico Paranaense,1,4,7,2.0,4,3,15,4,1.0,51%,4.0,1,6,602,517,86%
37332,123,Sport Recife,11,4,20,5.0,8,12,14,10,2.0,50%,1.0,0,0,391,302,77%
37332,120,Botafogo,1,7,10,2.0,4,6,15,7,0.0,50%,3.0,0,11,375,290,77%
37331,120,Botafogo,6,7,19,6.0,9,10,14,10,0.0,55%,1.0,0,1,460,398,87%
37331,130,Gremio,1,4,8,3.0,6,3,12,4,2.0,45%,1.0,0,4,389,317,81%
37326,118,Bahia,7,11,23,5.0,11,12,22,8,2.0,34%,2.0,0,1,334,279,84%
37326,134,Atletico Paranaense,2,4,9,3.0,3,6,12,2,1.0,66%,2.0,0,7,640,568,89%
37329,121,Palmeiras,4,8,16,4.0,9,7,17,14,2.0,71%,4.0,0,0,589,506,86%
37329,132,Chapecoense-sc,0,6,7,1.0,3,4,17,1,2.0,29%,6.0,0,4,237,170,72%
37330,122,Parana,12,8,28,8.0,13,15,14,8,2.0,69%,1.0,0,1,575,492,86%
37330,123,Sport Recife,3,5,10,2.0,4,6,15,1,3.0,31%,1.0,0,11,261,166,64%
37328,124,Fluminense,2,5,12,5.0,5,7,17,7,2.0,54%,3.0,0,2,370,298,81%
37328,126,Sao Paulo,3,7,14,4.0,12,2,16,8,0.0,46%,2.0,0,1,316,231,73%
37327,129,Ceara,1,4,8,3.0,3,5,18,2,1.0,48%,1.0,0,4,401,355,89%
37327,127,Flamengo,7,7,18,4.0,11,7,12,5,3.0,52%,2.0,0,1,431,374,87%
37325,1062,Atletico-MG,5,6,18,7.0,7,11,25,10,2.0,57%,4.0,0,1,556,490,88%
37325,131,Corinthians,1,3,5,1.0,2,3,15,0,0.0,43%,3.0,0,4,413,331,80%
37324,119,Internacional,6,10,22,6.0,11,11,15,18,5.0,58%,4.0,0,0,462,386,84%
37324,135,Cruzeiro,0,5,8,3.0,5,3,14,4,1.0,42%,3.0,0,6,350,272,78%
37323,125,America Mineiro,8,5,15,2.0,11,4,14,8,0.0,40%,3.0,1,4,305,209,69%
37323,136,Vitoria,5,7,14,2.0,6,8,12,7,3.0,60%,2.0,0,6,445,354,80%
37321,126,Sao Paulo,2,3,7,2.0,6,1,17,6,2.0,38%,4.0,0,3,317,247,78%
37321,1062,Atletico-MG,5,2,9,2.0,6,3,14,7,2.0,62%,4.0,0,0,535,468,87%
37322,133,Vasco DA Gama,7,6,18,5.0,13,5,14,3,5.0,66%,4.0,0,0,557,481,86%
37322,125,America Mineiro,1,1,4,2.0,4,0,24,3,0.0,34%,4.0,0,3,282,198,70%
37320,131,Corinthians,4,9,14,1.0,10,4,12,12,2.0,61%,2.0,0,2,585,523,89%
37320,129,Ceara,3,1,4,0.0,0,4,20,2,3.0,39%,4.0,0,3,380,314,83%
37318,127,Flamengo,7,6,17,4.0,9,8,12,6,1.0,57%,5.0,0,4,470,408,87%
37318,119,Internacional,4,4,11,3.0,6,5,15,6,0.0,43%,4.0,1,5,345,283,82%
37316,134,Atletico Paranaense,4,4,9,1.0,6,3,10,3,3.0,61%,1.0,0,3,619,552,89%
37316,121,Palmeiras,6,8,15,1.0,10,5,15,6,1.0,39%,2.0,0,3,389,302,78%
37317,135,Cruzeiro,6,10,23,7.0,16,7,19,8,5.0,52%,1.0,0,2,417,345,83%
37317,120,Botafogo,1,4,7,2.0,2,5,12,6,1.0,48%,4.0,0,5,395,319,81%
37319,136,Vitoria,1,2,7,4.0,2,5,18,3,3.0,34%,2.0,0,2,274,200,73%
37319,124,Fluminense,4,8,18,6.0,10,8,7,9,1.0,66%,1.0,0,0,517,438,85%
37315,123,Sport Recife,9,7,20,4.0,12,9,18,9,1.0,47%,1.0,0,1,343,264,77%
37315,118,Bahia,1,4,7,2.0,4,3,21,7,0.0,53%,3.0,1,8,393,307,78%
37314,130,Gremio,8,6,18,4.0,6,12,15,8,0.0,63%,1.0,0,1,657,592,90%
37314,128,Santos,2,3,8,3.0,1,7,22,1,1.0,37%,3.0,0,3,370,310,84%
37313,132,Chapecoense-sc,2,8,13,3.0,5,8,10,6,0.0,52%,1.0,0,2,373,276,74%
37313,122,Parana,3,12,18,3.0,9,9,16,4,1.0,48%,2.0,1,1,338,242,72%
37312,130,Gremio,1,8,11,2.0,6,5,13,11,0.0,77%,3.0,0,1,721,644,89%
37312,119,Internacional,1,3,5,1.0,2,3,24,1,0.0,23%,4.0,0,1,212,138,65%
37311,135,Cruzeiro,5,6,15,4.0,8,7,18,7,4.0,56%,2.0,0,5,481,414,86%
37311,123,Sport Recife,4,5,10,1.0,7,3,16,4,2.0,44%,3.0,0,3,389,321,83%
37307,118,Bahia,5,5,11,1.0,6,5,20,3,1.0,48%,5.0,0,1,378,296,78%
37307,126,Sao Paulo,4,4,10,2.0,7,3,14,3,1.0,52%,3.0,0,3,392,299,76%
37309,131,Corinthians,5,2,11,4.0,6,5,15,10,0.0,53%,2.0,0,4,409,325,79%
37309,121,Palmeiras,4,5,10,1.0,4,6,21,3,2.0,47%,3.0,0,4,366,274,75%
37308,132,Chapecoense-sc,3,5,11,3.0,7,4,18,3,1.0,42%,2.0,0,2,327,261,80%
37308,127,Flamengo,4,6,14,4.0,7,7,17,7,3.0,58%,3.0,0,0,437,360,82%
37310,133,Vasco DA Gama,7,7,20,6.0,11,9,16,7,1.0,62%,2.0,0,1,472,379,80%
37310,136,Vitoria,3,3,9,3.0,7,3,19,2,1.0,38%,3.0,0,5,289,200,69%
37306,134,Atletico Paranaense,8,7,18,3.0,6,12,15,6,1.0,62%,2.0,0,9,607,535,88%
37306,1062,Atletico-MG,11,10,23,2.0,18,5,16,10,0.0,38%,2.0,0,7,358,284,79%
37305,128,Santos,5,2,10,3.0,8,2,12,6,4.0,56%,1.0,0,3,545,478,88%
37305,122,Parana,4,8,14,2.0,4,10,14,5,0.0,44%,2.0,0,2,419,361,86%
37303,120,Botafogo,5,2,8,1.0,3,5,12,5,2.0,41%,2.0,0,8,328,255,78%
37303,124,Fluminense,9,9,22,4.0,14,8,12,9,2.0,59%,2.0,0,3,465,392,84%
37304,129,Ceara,9,8,24,7.0,11,13,16,8,2.0,65%,1.0,0,2,516,438,85%
37304,125,America Mineiro,4,4,11,3.0,5,6,18,2,3.0,35%,3.0,0,7,287,196,68%
37302,1062,Atletico-MG,5,11,18,2.0,11,7,13,3,0.0,68%,3.0,0,2,588,510,87%
37302,135,Cruzeiro,2,9,11,0.0,5,6,15,6,1.0,32%,3.0,1,4,260,197,76%
37301,127,Flamengo,3,6,11,2.0,6,5,16,6,3.0,60%,2.0,2,6,462,382,83%
37301,133,Vasco DA Gama,7,5,16,4.0,9,7,24,11,0.0,40%,3.0,2,2,298,228,77%
37300,121,Palmeiras,6,5,14,3.0,11,3,17,5,4.0,52%,3.0,0,4,438,352,80%
37300,118,Bahia,4,4,13,5.0,6,7,13,4,1.0,48%,2.0,0,3,393,317,81%
37299,136,Vitoria,3,7,14,4.0,4,10,11,7,0.0,41%,4.0,0,5,351,272,77%
37299,129,Ceara,6,6,16,4.0,8,8,17,4,1.0,59%,0.0,0,1,508,427,84%
37296,122,Parana,0,4,6,2.0,1,5,16,1,0.0,25%,2.0,0,2,246,176,72%
37296,130,Gremio,2,3,8,3.0,4,4,18,9,1.0,75%,1.0,0,0,719,650,90%
37298,123,Sport Recife,5,7,14,2.0,5,9,18,3,1.0,44%,2.0,0,1,436,371,85%
37298,131,Corinthians,2,3,5,0.0,2,3,17,5,2.0,56%,3.0,0,4,562,495,88%
37295,125,America Mineiro,2,6,14,6.0,9,5,20,5,1.0,43%,2.0,0,1,422,343,81%
37295,120,Botafogo,1,6,9,2.0,3,6,11,2,5.0,57%,4.0,0,1,553,473,86%
37297,126,Sao Paulo,1,11,14,2.0,5,9,13,4,2.0,39%,5.0,1,1,341,257,75%
37297,128,Santos,1,5,7,1.0,4,3,6,2,1.0,61%,2.0,0,0,557,459,82%
37294,124,Fluminense,6,5,14,3.0,7,8,13,3,2.0,32%,1.0,0,3,294,222,76%
37294,134,Atletico Paranaense,3,11,18,4.0,6,12,18,6,1.0,68%,2.0,0,5,612,537,88%
37293,119,Internacional,3,5,13,5.0,6,7,14,2,2.0,49%,1.0,0,2,450,372,83%
37293,132,Chapecoense-sc,2,5,10,3.0,4,6,15,2,0.0,51%,2.0,0,0,462,376,81%
37292,124,Fluminense,5,6,11,0.0,7,4,21,1,1.0,45%,1.0,0,4,387,307,79%
37292,132,Chapecoense-sc,5,6,16,5.0,12,4,14,6,0.0,55%,1.0,0,2,445,368,83%
37291,121,Palmeiras,5,8,16,3.0,13,3,17,9,4.0,61%,3.0,0,3,501,398,79%
37291,123,Sport Recife,6,6,13,1.0,7,6,10,3,0.0,39%,4.0,1,3,324,227,70%
37290,1062,Atletico-MG,3,10,18,5.0,9,9,15,14,0.0,67%,1.0,0,3,599,520,87%
37290,127,Flamengo,4,3,7,0.0,3,4,13,1,4.0,33%,4.0,0,4,306,239,78%
37289,122,Parana,2,7,15,6.0,6,9,8,10,1.0,31%,3.0,0,1,296,236,80%
37289,134,Atletico Paranaense,1,5,6,0.0,4,2,14,4,1.0,69%,1.0,0,2,673,608,90%
37285,118,Bahia,6,6,14,2.0,8,6,20,4,3.0,51%,1.0,0,1,460,383,83%
37285,133,Vasco DA Gama,1,1,6,4.0,1,5,16,2,2.0,49%,7.0,1,3,442,350,79%
37287,119,Internacional,7,9,19,3.0,12,7,13,12,2.0,54%,3.0,0,1,500,437,87%
37287,131,Corinthians,2,2,4,0.0,2,2,10,2,0.0,46%,1.0,0,4,437,355,81%
37286,120,Botafogo,3,5,8,0.0,4,4,10,6,6.0,58%,1.0,0,0,497,400,80%
37286,136,Vitoria,1,4,6,1.0,3,3,18,1,2.0,42%,4.0,0,2,359,261,73%
37288,128,Santos,6,4,16,6.0,11,5,12,5,0.0,54%,1.0,0,3,496,417,84%
37288,135,Cruzeiro,4,7,17,6.0,12,5,12,7,0.0,46%,4.0,0,6,407,335,82%
37283,125,America Mineiro,4,6,12,2.0,8,4,22,9,2.0,55%,4.0,0,3,427,345,81%
37283,126,Sao Paulo,6,6,12,0.0,9,3,19,7,5.0,45%,3.0,0,3,337,248,74%
