,fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
439,1180593,152,Juventude,3,5,13,5,4,9,10,5,2.0,60%,6.0,1.0,5,394,325,82%,0.57,0.0
440,1180590,121,Palmeiras,9,3,14,2,8,6,16,7,1.0,58%,1.0,0.0,3,449,383,85%,2.45,0.0
441,1180590,1193,Cuiaba,3,4,10,3,7,3,6,1,2.0,42%,1.0,0.0,4,334,284,85%,0.68,0.0
442,1180586,1062,Atletico-MG,0,14,19,5,6,13,19,5,1.0,60%,5.0,0.0,5,475,400,84%,0.52,0.0
443,1180586,124,Fluminense,6,1,8,1,4,4,7,2,0.0,40%,2.0,0.0,0,333,261,78%,0.69,0.0
444,1180587,118,Bahia,7,9,17,1,10,7,19,4,3.0,53%,4.0,0.0,5,405,346,85%,0.93,2.0
445,1180587,120,Botafogo,5,4,14,5,10,4,21,7,2.0,47%,4.0,0.0,7,359,299,83%,0.72,2.0
446,1180594,140,Criciuma,4,9,19,6,4,15,15,6,3.0,47%,2.0,0.0,3,394,312,79%,0.89,0.0
447,1180594,130,Gremio,4,3,14,7,8,6,8,9,4.0,53%,1.0,0.0,4,450,377,84%,1.22,0.0
448,1180592,154,Fortaleza EC,5,3,8,0,5,3,14,3,2.0,44%,3.0,0.0,2,342,289,85%,0.95,0.0
449,1180592,131,Corinthians,3,1,10,6,7,3,16,9,2.0,56%,3.0,0.0,4,432,349,81%,0.64,0.0
450,1180591,126,Sao Paulo,3,5,12,4,7,5,7,4,1.0,58%,0.0,0.0,3,537,481,90%,0.66,-1.0
451,1180591,136,Vitoria,4,4,10,2,5,5,8,3,0.0,42%,2.0,0.0,1,373,324,87%,1.25,-1.0
452,1180585,119,Internacional,9,8,19,2,15,4,12,12,0.0,44%,3.0,0.0,3,376,293,78%,2.58,1.0
453,1180585,135,Cruzeiro,3,2,5,0,3,2,9,3,0.0,56%,2.0,0.0,8,505,395,78%,0.12,1.0
454,1180588,127,Flamengo,7,2,13,4,7,6,13,6,1.0,56%,1.0,0.0,1,465,391,84%,1.26,0.0
455,1180588,794,RB Bragantino,2,9,12,1,3,9,12,10,1.0,44%,1.0,0.0,6,360,293,81%,1.06,0.0
456,1180589,133,Vasco DA Gama,5,1,7,1,6,1,10,4,4.0,46%,1.0,0.0,3,334,274,82%,0.65,0.0
457,1180589,134,Atletico Paranaense,4,4,9,1,4,5,11,5,1.0,54%,2.0,1.0,2,405,332,82%,0.68,0.0
458,1180396,135,Cruzeiro,4,12,19,3,9,10,12,10,1.0,69%,2.0,0.0,0,442,371,84%,1.65,1.0
459,1180396,119,Internacional,0,1,1,0,0,1,13,3,1.0,31%,7.0,1.0,4,214,141,66%,0.02,1.0
460,1180544,140,Criciuma,2,6,14,6,10,4,17,6,0.0,49%,3.0,0.0,6,350,276,79%,0.84,0.0
461,1180544,794,RB Bragantino,6,9,15,0,9,6,15,8,1.0,51%,3.0,0.0,1,363,290,80%,1.11,0.0
462,1180603,1193,Cuiaba,3,12,22,7,13,9,16,5,0.0,45%,3.0,0.0,3,385,327,85%,1.1,-1.0
463,1180603,140,Criciuma,3,6,12,3,7,5,9,5,3.0,55%,0.0,0.0,1,484,414,86%,0.51,-1.0
464,1180599,120,Botafogo,7,8,22,7,14,8,13,9,2.0,64%,3.0,0.0,1,566,497,88%,1.96,0.0
465,1180599,154,Fortaleza EC,1,5,10,4,3,7,8,6,0.0,36%,4.0,0.0,5,317,238,75%,0.38,0.0
466,1180595,130,Gremio,5,5,11,1,8,3,11,5,0.0,28%,1.0,1.0,10,208,158,76%,2.11,0.0
467,1180595,1062,Atletico-MG,13,8,27,6,15,12,17,9,3.0,72%,3.0,0.0,2,541,483,89%,2.8,0.0
468,1180596,135,Cruzeiro,6,3,11,2,8,3,13,8,0.0,49%,2.0,0.0,3,432,366,85%,1.75,0.0
469,1180596,144,Atletico Goianiense,4,11,17,2,16,1,7,3,3.0,51%,5.0,0.0,3,441,383,87%,1.38,0.0
470,1180600,131,Corinthians,4,6,13,3,7,6,18,5,3.0,43%,5.0,2.0,2,326,263,81%,1.53,0.0
471,1180600,127,Flamengo,3,5,10,2,6,4,18,2,0.0,57%,4.0,1.0,2,448,383,85%,1.26,0.0
472,1180598,124,Fluminense,5,3,10,2,6,4,13,5,0.0,44%,4.0,0.0,2,420,365,87%,0.46,-1.0
473,1180598,126,Sao Paulo,2,6,15,7,8,7,16,4,0.0,56%,4.0,0.0,3,511,454,89%,0.83,-1.0
474,1180602,134,Atletico Paranaense,9,4,15,2,8,7,10,4,0.0,47%,2.0,0.0,8,446,361,81%,0.9,0.0
475,1180602,121,Palmeiras,10,3,19,6,16,3,9,4,2.0,53%,1.0,0.0,9,527,426,81%,2.82,0.0
476,1180597,136,Vitoria,5,9,21,7,12,9,7,10,1.0,47%,3.0,0.0,5,373,304,82%,1.36,0.0
477,1180597,133,Vasco DA Gama,6,2,9,1,5,4,7,3,2.0,53%,3.0,0.0,5,443,361,81%,0.38,0.0
478,1180604,152,Juventude,5,6,14,3,6,8,13,6,0.0,37%,1.0,1.0,4,267,180,67%,0.68,0.0
479,1180604,119,Internacional,8,8,18,2,14,4,17,4,1.0,63%,2.0,0.0,4,476,399,84%,3.07,0.0
480,1180601,794,RB Bragantino,6,7,15,2,7,8,8,5,3.0,30%,2.0,0.0,5,255,194,76%,0.86,0.0
481,1180601,118,Bahia,6,7,16,3,13,3,13,10,1.0,70%,3.0,0.0,4,613,548,89%,0.88,0.0
