,fixture_id,team_id,team_name,player_id,player_name,minutes,number,position,rating,captain,substitute,offsides,shots_total,shots_on,goals_total,goals_conceded,assists,saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved
18,1180355,119,Internacional,161925,Igor Gomes,0.0,3,D,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
19,1180355,119,Internacional,47432,Hugo Mallo,0.0,2,D,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20,1180355,119,Internacional,415049,Gabriel Carvalho,0.0,34,M,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
21,1180355,119,Internacional,238562,Matheus Dias,0.0,41,M,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
22,1180355,119,Internacional,133196,Rômulo,0.0,40,M,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
23,1180355,118,Bahia,10298,Marcos Felipe,90.0,22,G,7.3,0,0,0.0,0.0,0.0,0.0,2,0.0,7.0,32.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
24,1180355,118,Bahia,30,Santiago Arias,90.0,13,D,6.9,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,2.0,43.0,2.0,2.0,0.0,12.0,5.0,1.0,0.0,1.0,2.0,2.0,0,0,0.0,0.0,0,0,0.0
25,1180355,118,Bahia,10059,Kanu,90.0,4,D,6.3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,53.0,0.0,39.0,0.0,0.0,1.0,11.0,5.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0,0,0.0
26,1180355,118,Bahia,10377,Víctor Cuesta,90.0,15,D,6.3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,44.0,0.0,40.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,2.0,2.0,0,0,0.0,0.0,0,0,0.0
27,1180355,118,Bahia,197383,Luciano Juba,90.0,46,D,6.3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,47.0,1.0,40.0,0.0,0.0,4.0,11.0,2.0,3.0,0.0,1.0,1.0,0.0,0,0,0.0,0.0,0,0,0.0
28,1180355,118,Bahia,10168,Everton Ribeiro,80.0,10,M,6.9,1,0,0.0,1.0,0.0,0.0,0,0.0,0.0,48.0,1.0,44.0,0.0,0.0,2.0,9.0,3.0,1.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0,0,0.0
29,1180355,118,Bahia,157359,Rezende,90.0,5,M,7.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,48.0,0.0,44.0,7.0,0.0,1.0,12.0,9.0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0,0,0.0
30,1180355,118,Bahia,180236,Caio Alexandre,64.0,19,M,6.7,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,45.0,0.0,42.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,2.0,4.0,1.0,0,0,0.0,0.0,0,0,0.0
31,1180355,118,Bahia,9994,Jean Lucas,90.0,6,M,7.2,0,0,0.0,1.0,1.0,0.0,0,1.0,0.0,31.0,1.0,25.0,0.0,0.0,1.0,16.0,7.0,9.0,7.0,0.0,0.0,2.0,1,0,0.0,0.0,0,0,0.0
32,1180355,118,Bahia,10492,Thaciano,80.0,16,F,6.3,0,0,1.0,1.0,1.0,0.0,0,0.0,0.0,18.0,0.0,12.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,2.0,0,0,0.0,0.0,0,0,0.0
33,1180355,118,Bahia,63968,Óscar Estupiñán,45.0,29,F,6.3,0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
34,1180355,118,Bahia,25272,Cauly,45.0,8,M,6.3,0,1,0.0,1.0,1.0,0.0,0,0.0,0.0,20.0,0.0,17.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
35,1180355,118,Bahia,305817,Biel,26.0,11,F,7.5,0,1,1.0,1.0,1.0,1.0,0,0.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0,0,0.0
36,1180355,118,Bahia,2173,Carlos De Pena,10.0,14,M,6.3,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,1,0,0.0,0.0,0,0,0.0
37,1180355,118,Bahia,10222,Everaldo,10.0,9,F,6.3,0,1,0.0,1.0,0.0,0.0,0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0.0
38,1180355,118,Bahia,160546,Adriel,0.0,23,G,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
39,1180355,118,Bahia,353728,Gabriel Xavier,0.0,3,D,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
40,1180355,118,Bahia,1057,Cicinho,0.0,40,D,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
41,1180355,118,Bahia,10351,David Duarte,0.0,33,D,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
42,1180355,118,Bahia,10305,Gilberto,0.0,2,D,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
43,1180355,118,Bahia,10348,Yago Felipe,0.0,20,M,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
44,1180355,118,Bahia,61159,Rafael Ratão,0.0,21,F,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
45,1180355,118,Bahia,9854,Ademir,0.0,7,F,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
46,1180364,140,Criciuma,9410,Alisson,90.0,25,G,6.6,0,0,0.0,0.0,0.0,0.0,1,0.0,3.0,31.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
