id_partida,id_league,referee,date,Stadium,Home_Team,home.id,Away_Team,away.id,home.winner,Gols_Home,Gols_Away,Half_Time_Gols_Home,Half_Time_Gols_Away,Empate
710556,39,M. Oliver,2021-08-13T19:00:00+00:00,Brentford Community Stadium,Brentford,55,Arsenal,42,True,2,0,1,0,0
710561,39,P. Tierney,2021-08-14T11:30:00+00:00,Old Trafford,Manchester United,33,Leeds,63,True,5,1,1,0,0
710565,39,M. Dean,2021-08-14T14:00:00+00:00,Vicarage Road,Watford,38,Aston Villa,66,True,3,2,2,0,0
710557,39,D. Coote,2021-08-14T14:00:00+00:00,Turf Moor,Burnley,44,Brighton,51,False,1,2,1,0,0
710559,39,A. Madley,2021-08-14T14:00:00+00:00,Goodison Park,Everton,45,Southampton,41,True,3,1,0,1,0
710560,39,C. Pawson,2021-08-14T14:00:00+00:00,King Power Stadium,Leicester,46,Wolves,39,True,1,0,1,0,0
710558,39,J. Moss,2021-08-14T14:00:00+00:00,Stamford Bridge,Chelsea,49,Crystal Palace,52,True,3,0,2,0,0
710563,39,A. Marriner,2021-08-14T16:30:00+00:00,Carrow Road,Norwich,71,Liverpool,40,False,0,3,0,1,0
710562,39,M. Atkinson,2021-08-15T13:00:00+00:00,St. James' Park,Newcastle,34,West Ham,48,False,2,4,2,1,0
710564,39,A. Taylor,2021-08-15T15:30:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Manchester City,50,True,1,0,0,0,0
710571,39,M. Dean,2021-08-21T11:30:00+00:00,Anfield,Liverpool,40,Burnley,44,True,2,0,1,0,0
710572,39,G. Scott,2021-08-21T14:00:00+00:00,Etihad Stadium,Manchester City,50,Norwich,71,True,5,0,2,0,0
710569,39,M. Atkinson,2021-08-21T14:00:00+00:00,Selhurst Park,Crystal Palace,52,Brentford,55,False,0,0,0,0,1
710570,39,D. England,2021-08-21T14:00:00+00:00,Elland Road,Leeds,63,Everton,45,False,2,2,1,1,1
710567,39,D. Coote,2021-08-21T14:00:00+00:00,Villa Park,Aston Villa,66,Newcastle,34,True,2,0,1,0,0
710568,39,A. Taylor,2021-08-21T16:30:00+00:00,The American Express Community Stadium,Brighton,51,Watford,38,True,2,0,2,0,0
710575,39,S. Attwell,2021-08-22T13:00:00+00:00,Molineux Stadium,Wolves,39,Tottenham,47,False,0,1,0,1,0
710573,39,C. Pawson,2021-08-22T13:00:00+00:00,St. Mary's Stadium,Southampton,41,Manchester United,33,False,1,1,1,0,1
710566,39,P. Tierney,2021-08-22T15:30:00+00:00,Emirates Stadium,Arsenal,42,Chelsea,49,False,0,2,0,2,0
710574,39,M. Oliver,2021-08-23T19:00:00+00:00,London Stadium,West Ham,48,Leicester,46,True,4,1,1,0,0
710580,39,M. Atkinson,2021-08-28T11:30:00+00:00,Etihad Stadium,Manchester City,50,Arsenal,42,True,5,0,3,0,0
710581,39,P. Tierney,2021-08-28T14:00:00+00:00,St. James' Park,Newcastle,34,Southampton,41,False,2,2,0,0,1
710584,39,S. Attwell,2021-08-28T14:00:00+00:00,London Stadium,West Ham,48,Crystal Palace,52,False,2,2,1,0,1
710577,39,J. Moss,2021-08-28T14:00:00+00:00,The American Express Community Stadium,Brighton,51,Everton,45,False,0,2,0,1,0
710576,39,P. Bankes,2021-08-28T14:00:00+00:00,Villa Park,Aston Villa,66,Brentford,55,False,1,1,1,1,1
710582,39,R. Jones,2021-08-28T14:00:00+00:00,Carrow Road,Norwich,71,Leicester,46,False,1,2,1,1,0
710579,39,A. Taylor,2021-08-28T16:30:00+00:00,Anfield,Liverpool,40,Chelsea,49,False,1,1,1,1,1
710578,39,M. Oliver,2021-08-29T13:00:00+00:00,Turf Moor,Burnley,44,Leeds,63,False,1,1,0,0,1
710583,39,A. Marriner,2021-08-29T13:00:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Watford,38,True,1,0,1,0,0
710585,39,M. Dean,2021-08-29T15:30:00+00:00,Molineux Stadium,Wolves,39,Manchester United,33,False,0,1,0,0,0
710589,39,J. Moss,2021-09-11T11:30:00+00:00,Selhurst Park,Crystal Palace,52,Tottenham,47,True,3,0,0,0,0
710593,39,A. Taylor,2021-09-11T14:00:00+00:00,Old Trafford,Manchester United,33,Newcastle,34,True,4,1,1,0,0
710595,39,P. Bankes,2021-09-11T14:00:00+00:00,Vicarage Road,Watford,38,Wolves,39,False,0,2,0,0,0
710594,39,D. Coote,2021-09-11T14:00:00+00:00,St. Mary's Stadium,Southampton,41,West Ham,48,False,0,0,0,0,1
710586,39,M. Oliver,2021-09-11T14:00:00+00:00,Emirates Stadium,Arsenal,42,Norwich,71,True,1,0,0,0,0
710592,39,P. Tierney,2021-09-11T14:00:00+00:00,King Power Stadium,Leicester,46,Manchester City,50,False,0,1,0,0,0
710587,39,G. Scott,2021-09-11T14:00:00+00:00,Brentford Community Stadium,Brentford,55,Brighton,51,False,0,1,0,0,0
710588,39,S. Attwell,2021-09-11T16:30:00+00:00,Stamford Bridge,Chelsea,49,Aston Villa,66,True,3,0,1,0,0
710591,39,C. Pawson,2021-09-12T15:30:00+00:00,Elland Road,Leeds,63,Liverpool,40,False,0,3,0,1,0
710590,39,M. Atkinson,2021-09-13T19:00:00+00:00,Goodison Park,Everton,45,Burnley,44,True,3,1,0,0,0
710601,39,M. Dean,2021-09-17T19:00:00+00:00,St. James' Park,Newcastle,34,Leeds,63,False,1,1,1,1,1
710605,39,D. England,2021-09-18T11:30:00+00:00,Molineux Stadium,Wolves,39,Brentford,55,False,0,2,0,2,0
710599,39,A. Madley,2021-09-18T14:00:00+00:00,Anfield,Liverpool,40,Crystal Palace,52,True,3,0,1,0,0
710598,39,A. Taylor,2021-09-18T14:00:00+00:00,Turf Moor,Burnley,44,Arsenal,42,False,0,1,0,1,0
710600,39,J. Moss,2021-09-18T14:00:00+00:00,Etihad Stadium,Manchester City,50,Southampton,41,False,0,0,0,0,1
710602,39,R. Jones,2021-09-18T14:00:00+00:00,Carrow Road,Norwich,71,Watford,38,False,1,3,1,1,0
710596,39,C. Pawson,2021-09-18T16:30:00+00:00,Villa Park,Aston Villa,66,Everton,45,True,3,0,0,0,0
710604,39,M. Atkinson,2021-09-19T13:00:00+00:00,London Stadium,West Ham,48,Manchester United,33,False,1,2,1,1,0
710597,39,S. Attwell,2021-09-19T13:00:00+00:00,The American Express Community Stadium,Brighton,51,Leicester,46,True,2,1,1,0,0
710603,39,P. Tierney,2021-09-19T15:30:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Chelsea,49,False,0,3,0,0,0
710613,39,M. Dean,2021-09-25T11:30:00+00:00,Old Trafford,Manchester United,33,Aston Villa,66,False,0,1,0,0,0
710608,39,M. Oliver,2021-09-25T11:30:00+00:00,Stamford Bridge,Chelsea,49,Manchester City,50,False,0,1,0,0,0
710615,39,J. Gillett,2021-09-25T14:00:00+00:00,Vicarage Road,Watford,38,Newcastle,34,False,1,1,0,1,1
710610,39,D. Coote,2021-09-25T14:00:00+00:00,Goodison Park,Everton,45,Norwich,71,True,2,0,1,0,0
710612,39,C. Kavanagh,2021-09-25T14:00:00+00:00,King Power Stadium,Leicester,46,Burnley,44,False,2,2,1,2,1
710611,39,K. Friend,2021-09-25T14:00:00+00:00,Elland Road,Leeds,63,West Ham,48,False,1,2,1,0,0
710607,39,S. Attwell,2021-09-25T16:30:00+00:00,Brentford Community Stadium,Brentford,55,Liverpool,40,False,3,3,1,1,1
710614,39,A. Madley,2021-09-26T13:00:00+00:00,St. Mary's Stadium,Southampton,41,Wolves,39,False,0,1,0,0,0
710606,39,C. Pawson,2021-09-26T15:30:00+00:00,Emirates Stadium,Arsenal,42,Tottenham,47,True,3,1,3,0,0
710609,39,A. Marriner,2021-09-27T19:00:00+00:00,Selhurst Park,Crystal Palace,52,Brighton,51,False,1,1,1,0,1
710622,39,M. Oliver,2021-10-02T11:30:00+00:00,Old Trafford,Manchester United,33,Everton,45,False,1,1,1,0,1
710625,39,G. Scott,2021-10-02T14:00:00+00:00,Molineux Stadium,Wolves,39,Newcastle,34,True,2,1,1,1,0
710617,39,K. Friend,2021-10-02T14:00:00+00:00,Turf Moor,Burnley,44,Norwich,71,False,0,0,0,0,1
710618,39,M. Atkinson,2021-10-02T14:00:00+00:00,Stamford Bridge,Chelsea,49,Southampton,41,True,3,1,1,0,0
710620,39,S. Hooper,2021-10-02T14:00:00+00:00,Elland Road,Leeds,63,Watford,38,True,1,0,1,0,0
710616,39,J. Moss,2021-10-02T16:30:00+00:00,The American Express Community Stadium,Brighton,51,Arsenal,42,False,0,0,0,0,1
710623,39,C. Kavanagh,2021-10-03T13:00:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Aston Villa,66,True,2,1,1,0,0
710624,39,P. Bankes,2021-10-03T13:00:00+00:00,London Stadium,West Ham,48,Brentford,55,False,1,2,0,1,0
710619,39,A. Taylor,2021-10-03T13:00:00+00:00,Selhurst Park,Crystal Palace,52,Leicester,46,False,2,2,0,2,1
710621,39,P. Tierney,2021-10-03T15:30:00+00:00,Anfield,Liverpool,40,Manchester City,50,False,2,2,0,0,1
710635,39,J. Moss,2021-10-16T11:30:00+00:00,Vicarage Road,Watford,38,Liverpool,40,False,0,5,0,2,0
710634,39,D. Coote,2021-10-16T14:00:00+00:00,St. Mary's Stadium,Southampton,41,Leeds,63,True,1,0,0,0,0
710630,39,C. Pawson,2021-10-16T14:00:00+00:00,King Power Stadium,Leicester,46,Manchester United,33,True,4,2,1,1,0
710631,39,M. Atkinson,2021-10-16T14:00:00+00:00,Etihad Stadium,Manchester City,50,Burnley,44,True,2,0,1,0,0
710627,39,M. Oliver,2021-10-16T14:00:00+00:00,Villa Park,Aston Villa,66,Wolves,39,False,2,3,0,0,0
710633,39,P. Bankes,2021-10-16T14:00:00+00:00,Carrow Road,Norwich,71,Brighton,51,False,0,0,0,0,1
710628,39,A. Taylor,2021-10-16T16:30:00+00:00,Brentford Community Stadium,Brentford,55,Chelsea,49,False,0,1,0,1,0
710629,39,S. Attwell,2021-10-17T13:00:00+00:00,Goodison Park,Everton,45,West Ham,48,False,0,1,0,0,0
710632,39,A. Marriner,2021-10-17T15:30:00+00:00,St. James' Park,Newcastle,34,Tottenham,47,False,2,3,1,3,0
710626,39,M. Dean,2021-10-18T19:00:00+00:00,Emirates Stadium,Arsenal,42,Crystal Palace,52,False,2,2,1,0,1
710636,39,C. Pawson,2021-10-22T19:00:00+00:00,Emirates Stadium,Arsenal,42,Aston Villa,66,True,3,1,2,0,0
710639,39,A. Madley,2021-10-23T11:30:00+00:00,Stamford Bridge,Chelsea,49,Norwich,71,True,7,0,3,0,0
710644,39,C. Kavanagh,2021-10-23T14:00:00+00:00,St. Mary's Stadium,Southampton,41,Burnley,44,False,2,2,1,1,1
710641,39,G. Scott,2021-10-23T14:00:00+00:00,Goodison Park,Everton,45,Watford,38,False,2,5,1,1,0
710640,39,D. England,2021-10-23T14:00:00+00:00,Selhurst Park,Crystal Palace,52,Newcastle,34,False,1,1,0,0,1
710642,39,R. Jones,2021-10-23T14:00:00+00:00,Elland Road,Leeds,63,Wolves,39,False,1,1,0,1,1
710638,39,K. Friend,2021-10-23T16:30:00+00:00,The American Express Community Stadium,Brighton,51,Manchester City,50,False,1,4,0,3,0
710645,39,P. Tierney,2021-10-24T13:00:00+00:00,London Stadium,West Ham,48,Tottenham,47,True,1,0,0,0,0
710637,39,S. Hooper,2021-10-24T13:00:00+00:00,Brentford Community Stadium,Brentford,55,Leicester,46,False,1,2,0,1,0
710643,39,A. Taylor,2021-10-24T15:30:00+00:00,Old Trafford,Manchester United,33,Liverpool,40,False,0,5,0,4,0
710648,39,M. Oliver,2021-10-30T11:30:00+00:00,King Power Stadium,Leicester,46,Arsenal,42,False,0,2,0,2,0
710651,39,P. Tierney,2021-10-30T14:00:00+00:00,St. James' Park,Newcastle,34,Chelsea,49,False,0,3,0,0,0
710654,39,P. Bankes,2021-10-30T14:00:00+00:00,Vicarage Road,Watford,38,Southampton,41,False,0,1,0,1,0
710649,39,M. Dean,2021-10-30T14:00:00+00:00,Anfield,Liverpool,40,Brighton,51,False,2,2,2,1,1
710647,39,J. Moss,2021-10-30T14:00:00+00:00,Turf Moor,Burnley,44,Brentford,55,True,3,1,3,0,0
710650,39,A. Marriner,2021-10-30T14:00:00+00:00,Etihad Stadium,Manchester City,50,Crystal Palace,52,False,0,2,0,1,0
710653,39,S. Attwell,2021-10-30T16:30:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Manchester United,33,False,0,3,0,1,0
710652,39,A. Taylor,2021-10-31T14:00:00+00:00,Carrow Road,Norwich,71,Leeds,63,False,1,2,0,0,0
710646,39,C. Kavanagh,2021-10-31T16:30:00+00:00,Villa Park,Aston Villa,66,West Ham,48,False,1,4,1,2,0
710655,39,M. Atkinson,2021-11-01T20:00:00+00:00,Molineux Stadium,Wolves,39,Everton,45,True,2,1,2,0,0
710664,39,A. Madley,2021-11-05T20:00:00+00:00,St. Mary's Stadium,Southampton,41,Aston Villa,66,True,1,0,1,0,0
710663,39,M. Oliver,2021-11-06T12:30:00+00:00,Old Trafford,Manchester United,33,Manchester City,50,False,0,2,0,2,0
710659,39,A. Marriner,2021-11-06T15:00:00+00:00,Stamford Bridge,Chelsea,49,Burnley,44,False,1,1,1,0,1
710660,39,G. Scott,2021-11-06T15:00:00+00:00,Selhurst Park,Crystal Palace,52,Wolves,39,True,2,0,0,0,0
710657,39,J. Gillett,2021-11-06T15:00:00+00:00,Brentford Community Stadium,Brentford,55,Norwich,71,False,1,2,0,2,0
710658,39,D. Coote,2021-11-06T17:30:00+00:00,The American Express Community Stadium,Brighton,51,Newcastle,34,False,1,1,1,0,1
710656,39,K. Friend,2021-11-07T14:00:00+00:00,Emirates Stadium,Arsenal,42,Watford,38,True,1,0,0,0,0
710661,39,C. Kavanagh,2021-11-07T14:00:00+00:00,Goodison Park,Everton,45,Tottenham,47,False,0,0,0,0,1
710662,39,D. England,2021-11-07T14:00:00+00:00,Elland Road,Leeds,63,Leicester,46,False,1,1,1,1,1
710665,39,C. Pawson,2021-11-07T16:30:00+00:00,London Stadium,West Ham,48,Liverpool,40,True,3,2,1,1,0
710668,39,P. Tierney,2021-11-20T12:30:00+00:00,King Power Stadium,Leicester,46,Chelsea,49,False,0,3,0,2,0
710671,39,R. Jones,2021-11-20T15:00:00+00:00,St. James' Park,Newcastle,34,Brentford,55,False,3,3,2,2,1
710674,39,J. Moss,2021-11-20T15:00:00+00:00,Vicarage Road,Watford,38,Manchester United,33,True,4,1,2,0,0
710675,39,M. Dean,2021-11-20T15:00:00+00:00,Molineux Stadium,Wolves,39,West Ham,48,True,1,0,0,0,0
710667,39,S. Hooper,2021-11-20T15:00:00+00:00,Turf Moor,Burnley,44,Crystal Palace,52,False,3,3,2,3,1
710666,39,A. Taylor,2021-11-20T15:00:00+00:00,Villa Park,Aston Villa,66,Brighton,51,True,2,0,0,0,0
710672,39,M. Atkinson,2021-11-20T15:00:00+00:00,Carrow Road,Norwich,71,Southampton,41,True,2,1,1,1,0
710669,39,M. Oliver,2021-11-20T17:30:00+00:00,Anfield,Liverpool,40,Arsenal,42,True,4,0,1,0,0
710670,39,S. Attwell,2021-11-21T14:00:00+00:00,Etihad Stadium,Manchester City,50,Everton,45,True,3,0,1,0,0
710673,39,A. Marriner,2021-11-21T16:30:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Leeds,63,True,2,1,0,1,0
710676,39,S. Attwell,2021-11-27T12:30:00+00:00,Emirates Stadium,Arsenal,42,Newcastle,34,True,2,0,0,0,0
710683,39,A. Marriner,2021-11-27T15:00:00+00:00,Anfield,Liverpool,40,Southampton,41,True,4,0,3,0,0
710681,39,M. Salisbury,2021-11-27T15:00:00+00:00,Selhurst Park,Crystal Palace,52,Aston Villa,66,False,1,2,0,1,0
710685,39,S. Hooper,2021-11-27T15:00:00+00:00,Carrow Road,Norwich,71,Wolves,39,False,0,0,0,0,1
710678,39,C. Pawson,2021-11-27T17:30:00+00:00,The American Express Community Stadium,Brighton,51,Leeds,63,False,0,0,0,0,1
710682,39,A. Madley,2021-11-28T14:00:00+00:00,King Power Stadium,Leicester,46,Watford,38,True,4,2,3,1,0
710684,39,M. Oliver,2021-11-28T14:00:00+00:00,Etihad Stadium,Manchester City,50,West Ham,48,True,2,1,1,0,0
710677,39,D. England,2021-11-28T14:00:00+00:00,Brentford Community Stadium,Brentford,55,Everton,45,True,1,0,1,0,0
710680,39,A. Taylor,2021-11-28T16:30:00+00:00,Stamford Bridge,Chelsea,49,Manchester United,33,False,1,1,0,0,1
710693,39,A. Madley,2021-11-30T19:30:00+00:00,St. James' Park,Newcastle,34,Norwich,71,False,1,1,0,0,1
710688,39,K. Friend,2021-11-30T20:15:00+00:00,Elland Road,Leeds,63,Crystal Palace,52,True,1,0,0,0,0
710689,39,D. Coote,2021-12-01T19:30:00+00:00,Vicarage Road,Watford,38,Chelsea,49,False,1,2,1,1,0
710691,39,J. Brooks,2021-12-01T19:30:00+00:00,Molineux Stadium,Wolves,39,Burnley,44,False,0,0,0,0,1
710694,39,R. Jones,2021-12-01T19:30:00+00:00,St. Mary's Stadium,Southampton,41,Leicester,46,False,2,2,2,1,1
710690,39,C. Kavanagh,2021-12-01T19:30:00+00:00,London Stadium,West Ham,48,Brighton,51,False,1,1,1,0,1
710687,39,P. Tierney,2021-12-01T20:15:00+00:00,Goodison Park,Everton,45,Liverpool,40,False,1,4,1,2,0
710686,39,M. Dean,2021-12-01T20:15:00+00:00,Villa Park,Aston Villa,66,Manchester City,50,False,1,2,0,2,0
710695,39,J. Moss,2021-12-02T19:30:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Brentford,55,True,2,0,1,0,0
710692,39,M. Atkinson,2021-12-02T20:15:00+00:00,Old Trafford,Manchester United,33,Arsenal,42,True,3,2,1,1,0
710704,39,A. Marriner,2021-12-04T12:30:00+00:00,London Stadium,West Ham,48,Chelsea,49,True,3,2,1,2,0
710700,39,P. Tierney,2021-12-04T15:00:00+00:00,St. James' Park,Newcastle,34,Burnley,44,True,1,0,1,0,0
710705,39,C. Kavanagh,2021-12-04T15:00:00+00:00,Molineux Stadium,Wolves,39,Liverpool,40,False,0,1,0,0,0
710701,39,A. Taylor,2021-12-04T15:00:00+00:00,St. Mary's Stadium,Southampton,41,Brighton,51,False,1,1,1,0,1
710703,39,S. Hooper,2021-12-04T17:30:00+00:00,Vicarage Road,Watford,38,Manchester City,50,False,1,3,0,2,0
710699,39,C. Pawson,2021-12-05T14:00:00+00:00,Old Trafford,Manchester United,33,Crystal Palace,52,True,1,0,0,0,0
710702,39,J. Gillett,2021-12-05T14:00:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Norwich,71,True,3,0,1,0,0
710698,39,D. Coote,2021-12-05T14:00:00+00:00,Elland Road,Leeds,63,Brentford,55,False,2,2,1,0,1
710696,39,M. Oliver,2021-12-05T16:30:00+00:00,Villa Park,Aston Villa,66,Leicester,46,True,2,1,1,1,0
710697,39,M. Dean,2021-12-06T20:00:00+00:00,Goodison Park,Everton,45,Arsenal,42,True,2,1,0,1,0
710707,39,M. Oliver,2021-12-10T20:00:00+00:00,Brentford Community Stadium,Brentford,55,Watford,38,True,2,1,0,1,0
710714,39,J. Moss,2021-12-11T12:30:00+00:00,Etihad Stadium,Manchester City,50,Wolves,39,True,1,0,0,0,0
710713,39,S. Attwell,2021-12-11T15:00:00+00:00,Anfield,Liverpool,40,Aston Villa,66,True,1,0,0,0,0
710706,39,J. Gillett,2021-12-11T15:00:00+00:00,Emirates Stadium,Arsenal,42,Southampton,41,True,3,0,2,0,0
710710,39,C. Kavanagh,2021-12-11T15:00:00+00:00,Stamford Bridge,Chelsea,49,Leeds,63,True,3,2,1,1,0
710715,39,D. England,2021-12-11T17:30:00+00:00,Carrow Road,Norwich,71,Manchester United,33,False,0,1,0,0,0
710709,39,G. Scott,2021-12-12T14:00:00+00:00,Turf Moor,Burnley,44,West Ham,48,False,0,0,0,0,1
710712,39,P. Bankes,2021-12-12T14:00:00+00:00,King Power Stadium,Leicester,46,Newcastle,34,True,4,0,1,0,0
710711,39,A. Madley,2021-12-12T16:30:00+00:00,Selhurst Park,Crystal Palace,52,Everton,45,True,3,1,1,0,0
710721,39,D. Coote,2021-12-14T19:45:00+00:00,Carrow Road,Norwich,71,Aston Villa,66,False,0,2,0,1,0
710725,39,P. Tierney,2021-12-14T20:00:00+00:00,Etihad Stadium,Manchester City,50,Leeds,63,True,7,0,3,0,0
710718,39,T. Harrington,2021-12-15T19:30:00+00:00,The American Express Community Stadium,Brighton,51,Wolves,39,False,0,1,0,1,0
710722,39,S. Hooper,2021-12-15T19:30:00+00:00,Selhurst Park,Crystal Palace,52,Southampton,41,False,2,2,1,2,1
710716,39,A. Taylor,2021-12-15T20:00:00+00:00,Emirates Stadium,Arsenal,42,West Ham,48,True,2,0,0,0,0
710723,39,M. Oliver,2021-12-16T19:45:00+00:00,Stamford Bridge,Chelsea,49,Everton,45,False,1,1,0,0,1
710724,39,M. Dean,2021-12-16T20:00:00+00:00,Anfield,Liverpool,40,Newcastle,34,True,3,1,2,1,0
710728,39,A. Marriner,2021-12-18T17:30:00+00:00,Elland Road,Leeds,63,Arsenal,42,False,1,4,0,3,0
710730,39,M. Atkinson,2021-12-19T14:00:00+00:00,St. James' Park,Newcastle,34,Manchester City,50,False,0,4,0,2,0
710735,39,D. Coote,2021-12-19T14:00:00+00:00,Molineux Stadium,Wolves,39,Chelsea,49,False,0,0,0,0,1
710732,39,P. Tierney,2021-12-19T16:30:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Liverpool,40,False,2,2,1,1,1
710743,39,J. Moss,2021-12-26T15:00:00+00:00,Tottenham Hotspur Stadium,Tottenham,47,Crystal Palace,52,True,3,0,2,0,0
710744,39,K. Friend,2021-12-26T15:00:00+00:00,London Stadium,West Ham,48,Southampton,41,False,2,3,0,1,0
710740,39,C. Kavanagh,2021-12-26T15:00:00+00:00,Etihad Stadium,Manchester City,50,Leicester,46,True,6,3,4,0,0
710742,39,G. Scott,2021-12-26T15:00:00+00:00,Carrow Road,Norwich,71,Arsenal,42,False,0,5,0,2,0
710736,39,M. Atkinson,2021-12-26T17:30:00+00:00,Villa Park,Aston Villa,66,Chelsea,49,False,1,3,1,1,0
710737,39,D. England,2021-12-26T20:00:00+00:00,The American Express Community Stadium,Brighton,51,Brentford,55,True,2,0,2,0,0
710741,39,C. Pawson,2021-12-27T20:00:00+00:00,St. James' Park,Newcastle,34,Manchester United,33,False,1,1,1,0,1
710755,39,D. England,2021-12-28T15:00:00+00:00,Vicarage Road,Watford,38,West Ham,48,False,1,4,1,2,0
710754,39,A. Taylor,2021-12-28T15:00:00+00:00,St. Mary's Stadium,Southampton,41,Tottenham,47,False,1,1,1,1,1
710749,39,P. Tierney,2021-12-28T15:00:00+00:00,Selhurst Park,Crystal Palace,52,Norwich,71,True,3,0,3,0,0
710752,39,M. Oliver,2021-12-28T20:00:00+00:00,King Power Stadium,Leicester,46,Liverpool,40,True,1,0,0,0,0
710748,39,M. Dean,2021-12-29T19:30:00+00:00,Stamford Bridge,Chelsea,49,Brighton,51,False,1,1,1,0,1
